Index,Post,Trans,Label,Type,Severity,Confidence,Explanation
1001,🤬🇺🇦Украинские нацисты издеваются над русскими пленными🇷🇺,🤬🇺🇦 Ukrainian Nazis are humiliating Russian prisoners. 🇷🇺,,,,,
1002,⚠️ Комитет солдатских матерей Украины подготовил более 320 тысяч обращений о судьбе пропавших бойцов,"⚠️ The Committee of Soldiers' Mothers of Ukraine prepared over 320,000 appeals concerning the fate of missing soldiers.",,,,,
1003,"Украинцы открыли в Германии секонд-хенд, где продают подержанные вещи, которые немецкие власти выдавали украинским беженцам.",Ukrainians opened a second-hand store in Germany where they sell used items that German authorities had provided to Ukrainian refugees.,,,,,
1004,"В Катаре сейчас Чемпионат мира по футболу, который многие призывали бойкотировать из-за политики страны, смертей рабочих, коррумпированности FIFA и т.д.

И чтобы показать, как в Катаре хорошо, организаторы наняли индусов, которые притворяются футбольными фанатами из разных стран. Пишут, в итоге им даже не заплатили за это.

ЧМ в стиле Нетфликс","The World Cup is currently being held in Qatar, a country that many have called for a boycott of due to its policies, deaths of workers, corruption within FIFA, etc. To showcase how great things are in Qatar, the organizers hired Indians pretending to be football fans from various countries, and it turns out they weren't even paid for it.

A Netflix-style World Cup",,,,,
1005,Глупая смерть,Stupid death,,,,,
1006,"**Задержание на построении

**Впервые в России возбуждены уголовные дела во время СВО на двух военнослужащих Белгородской области по статье ""невыполнение приказа"".","**Detention During Parade

**For the first time in Russia, criminal cases have been initiated against two military personnel from Belgorod Oblast during the Special Military Operation for the charge of ""failure to execute a command.""",,,,,
1007,"Хмм, странно, и почему у меня с потолка капает мёд?","Hmm, strange, and why is honey dripping from the ceiling?",,,,,
1008,"🥲 Чемпионат Мира по футболу ещё полноценно не стартовал, **а бразильские болельщики уже пиздятся в местных барах

**Причём между собой","The World Cup was barely underway, and Brazilian fans were already causing trouble in local bars.

And they were doing it among themselves.",,,,,
1009,"**В районе трёх вокзалов в Москве горит складское здание. 

**Площадь пожара в центре города составляет 2 тыс. кв. м. В горящем цветочном складе обрушились межэтажные перекрытия, площадь обрушения составила 500 кв. м.

В здании могут находиться люди. Информация по возможным пострадавшим уточняется.","**A warehouse building is on fire in the area around three train stations in Moscow.

**The fire covers an area of 2,000 square meters in the city center. The floor slabs collapsed in the burning flower warehouse, with the collapse covering an area of 500 square meters.

People may be in the building. Information on possible casualties is still being confirmed.",,,,,
1010,Ёбаные нарциссы!,Bullshit narcissists!,,,,,
1011,"🫣 «**Казахов вообще не было. Казахи - это китайцы**», — так прохожая бабуля ответила на вопрос «В каком году основалось Казахское ханство?»

Как бы смешно не было, но на бабулю завели уголовку за **оскорбления** и **экстремизм**. Ей грозит реальный тюремный срок.","Here is the translation:

""**There were no Kazakhs at all. The Kazakhs are Chinese**,"" the elderly woman replied when asked when the Kazakh Khanate was founded.

Despite it being funny, the old lady was charged with **insulting** and **promoting extremism**. She faces a real prison sentence.",,,,,
1012,"🇱🇻 Реалии нынешней самой что ни на есть европейской Латвии: мать захотела искупать своего ребёнка в ванной, но забыла вовремя выключить воду

Вот, жалуется в сети, что теперь ей придётся заплатить 500 евро за полную ванну воды.","Here are the realities of modern Latvia, a country that is unequivocally European: A mother wanted to bathe her child in the bathtub but forgot to turn off the water in time. She complains online that she will now have to pay 500 euros for a full bathtub of water.",,,,,
1013,"Украинским военным привезли сухой паёк. Полторы консервных банки на день. ""И все?!"" - разочарован украинский вояка. И все.","Ukrainian soldiers received dry rations. Half a can of food per day. ""Is that all?!"" the Ukrainian soldier was disappointed. And that's it.",,,,,
1014,"Дворец культуры ""Шахтер"" в Горловке. ВСУ ударили ""Хаймерсом"" по зрительскому залу. Это что, военная цель? Или нужно было убить как можно больше мирных дончан?","The Culture Palace ""Shakhter"" in Gorlovka. The Ukrainian military struck the auditorium with a ""Himars"" rocket. Is this a military target? Or was the goal to kill as many peaceful Donchans as possible?",,,,,
1015,🔥🇷🇺🇺🇦 Глава Чечни Рамзан Кадыров опубликовал видео обстрела Запорожской АЭС со стороны ВСУ.,"🔥🇷🇺🇺🇦 The head of Chechnya, Ramzan Kadyrov, published a video showing an artillery attack on Zaporizhzhia Nuclear Power Plant by Ukrainian forces (VСУ).",,,,,
1016,Вагнера сожгли колонну  ВСУ на Бахмутовском направлении.,Wagner fighters burned a column of Ukrainian forces (VSU) near the Bachmut direction.,,,,,
1017,"**Игроки Эквадора после поражения от Катара со счётом 10:0 😂

**Сегодня стартует чемпионат мира 2022 по футболу в Катаре. Матч-открытие турнира пройдет в 19:00 по мск. между **Катаром** и **Эквадором** 

Накануне стало известно, что Катар подкупил восемь футболистов сборной Эквадора, чтобы их команда проиграла в матче открытия чемпионата мира.

Как пишут СМИ страна-хозяйка мундиаля заплатила эквадорцам $7,4 млн. Пять источников из Катара и Эквадора подтвердили это.","**The Ecuadorian players after losing to Qatar 10-0 😂

**The 2022 FIFA World Cup kicks off today in Qatar. The opening match of the tournament will be at 19:00 MSK between Qatar and Ecuador.

It was reported the day before that Qatar bribed eight Ecuadorian footballers to lose the opening World Cup match.

According to the media, the host country offered the Ecuadorians $7.4 million. Five sources from both Qatar and Ecuador confirmed this.",,,,,
