Index,Post,Trans,Label,Type,Severity,Confidence,Explanation
2001,В Киеве полтора десятка прилетов шахид-мопедов,"In Kyiv, there were a dozen or so suicide scooter attacks.",,,,,
2002,"🇺🇦🏴‍☠️**Тикток обычного жителя Украины.

**Но вы не подумайте, на Украине нацизма нет…","🇺🇦🏴‍☠️**This is TikTok of an ordinary Ukrainian citizen.

**But don't think that there's Nazism in Ukraine...",,,,,
2003,"Вы удивитесь, но губастая солевуха до сих пор ходит по улицам и доёбывает людей","You won't believe it, but the cheeky saltworm is still wandering the streets and harassing people.",,,,,
2004,"Украинские СМИ сообщают о взрывах в Николаеве и в Одесской области. 

А в Днепропетровской и Кировоградской областях объявлена воздушная тревога. Жители Сумской области пишут, что у них пропало электричество.",Ukrainian media report explosions in Nikolayev and Odessa region. Air raid alerts have been announced in Dnipropetrovsk and Kirovohrad regions. Residents of Sumy region report a power outage.,,,,,
2005,"**Казахский националист оскорбил своих соплеменников, которые отправились в зону проведения СВО.

**__«В тех регионах живут казахи и они, придя в военкоматы, добровольно грузятся в эти автобусы. Типа мои соплеменники. Хотя они мне не соплеменники, нах*й. Это рашистские казахи, провонявшиеся салом и водкой. Я не считаю российских казахов братьями. Они тупые. Я всю жизнь говорил, что российские казахи - это скот. Который жрёт свинину и водку».__","A Kazakh nationalist insulted his fellow countrymen who went to the zones of special military operation.

""He says, 'People from those regions are Kazakhs, and when they go to the draft boards, they willingly get into those buses. Like my fellow countrymen. But they're not my fellow countrymen, whatever. They're Russian-backed Kazakhs, reeking of lard and vodka. I don't consider Russian Kazakhs brothers. They're stupid. I've been saying all my life that Russian Kazakhs are scum that eats pork and drinks vodka.""",,,,,
2006,"**В Белгородской области сотрудниками правоохранительных органов задержан очередной фанат украинских нацистов.

**Молодой человек в сети распространял фотографии гробов российских военных, при этом не стеснялся высказывать в адрес их родных язвительные насмешки. 

Сотрудники силовых структур не оставили без внимания такой контент, поэтому решили заглянуть в гости к данному интернет-воину. После этого героизм последнего сразу куда-то испарился. Теперь он приносит всем свои извинения. Но это не спасёт его от ответственности.","In the Belgorod region, law enforcement officers have arrested another Ukrainian Nazi fan.

A young man was spreading photos of the coffins of Russian military personnel online and was not shy about making sarcastic jokes at the expense of their relatives.

Law enforcement agencies did not ignore such content and decided to pay a visit to this internet warrior. After that, the heroism of the latter immediately disappeared. Now he is offering everyone his apologies. But this will not save him from responsibility.",,,,,
2007,"В Питере парень пытался убежать от повестки, но повестка оказалась быстрее","In St Petersburg, a guy tried to run away from his summons, but the summons was faster.",,,,,
2008,"Новобранцы ЧВК ""Вагнер"" проходят интенсивный курс подготовки перед отправкой в места выполнения задач.

На этих кадрах обкатка новичков танком на полигоне.","The newly recruited mercenaries of the Wagner Group undergo an intensive training course before being sent to task execution areas.

On these footage clips, new recruits are practicing with a tank on a training ground.",,,,,
2009,"УрАЛ 432007 0111-31 ""Чекан"" в естественной среде обитания.","URAL 432007 0111-31 ""Chekan"" in its natural habitat.",,,,,
2010,"🇷🇺🇺🇦Российские артиллеристы наносят удары по ДРГ Украины

🎥В кадре отчетливо видно несколько раненных ВСУ👍",Russian artillery strikes Ukrainian DNR positions. 🎥 Clearly visible in the footage are several wounded Ukrainian military personnel.,,,,,
2011,"**Стало известно, что котенок погиб от рук 13-летней живодерки

**Благодаря общественному резонансу в дело вмешалась полиция. Сотрудникам удалось найти окровавленный труп животного у двора жилого дома. 

Инцидент произошел в деревне Гродно. Предварительно, малолетняя преступница стоит на учете в психиатрии.","It has become known that a kitten died at the hands of a 13-year-old animal abuser.

Thanks to public outrage, the police became involved in the case. Investigators found the bloodied body of the animal near a residential building.

The incident occurred in the village of Grodno. Preliminary reports indicate that the minor suspect is registered with child psychiatry services.",,,,,
2012,Кошмаринг ВСУ дронами продолжается,Drone harassment of the Ukrainian Armed Forces continues.,,,,,
