Index,Post,Trans,Label,Type,Severity,Confidence,Explanation
1.0,"Дед Мороз дал новогодних звездюлей пьяной женщине, потому что та себя плохо вела Дама подошла к Деду Морозу и потребовала дать ей подарок, но у того не оказалось подарка. После этого слово за слово и Дед Мороз сорвался на женщину.","Grandfather Frost gave Christmas star gifts to the drunk woman because she had been misbehaving. When a lady approached Grandfather Frost and demanded a gift, he didn't have one. This led to an argument, and Grandfather Frost ended up lashing out at her.",Yes,C,,,
2.0,"В Узбекистане учитель отпиздил школьника и выгнал из класса, за то, что тот не смог ответить у доски","In Uzbekistan, a teacher caned a student and expelled him from class because the student couldn't answer a question on the blackboard.",Yes,C,,,
3.0,"Украинская студентка не вывезла спор о Киевской Руси с российским блогером, который преподал урок истории

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","The Ukrainian student didn't bring the discussion about Kyivan Rus' with the Russian blogger, who gave the history lesson, to an argument.

[🔞 Subscribe to Daily Horror](https://t.me/zvoinaukraina)",No,,,,
4.0,"Путин поздравил с наступающим Новым годом лидеров Абхазии, Азербайджана, Армении, Белоруссии, Казахстана, Киргизии, Таджикистана, Туркмении, Узбекистана, Южной Осетии, Боливии, Бразилии, Венгрии, Венесуэлы, Вьетнама, Индии, Китая, Кубы, Никарагуа, Сербии, Сирии, Турции, а также Берлускони, Кочаряна, Назарбаева, Саргсяна и Шрёдера

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","Putin wished leaders of Abkhazia, Azerbaijan, Armenia, Belarus, Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan, South Ossetia, Bolivia, Brazil, Hungary, Venezuela, Vietnam, India, China, Cuba, Nicaragua, Serbia, Syria, Turkey, as well as Berlusconi, Kocharyan, Nazarbayev, Sargsyan, and Schroeder a happy New Year.

[🔞 Subscribe to Daily Awesomeness](https://t.me/zvoinaukraina)",No,,,,
5.0,"Рисовый блогер провёл эксперимент и выяснил, что если держать в руке кирпич, то водители останавливаются перед лужами.

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","The rice blogger conducted an experiment and found out that if you hold a brick in your hand, drivers will stop at puddles.

[👉 Subscribe to Daily Awesomeness](https://t.me/zvoinaukraina)",No,,,,
6.0,"Спина теперь точно болеть не будет

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","The back will definitely not hurt now.

[🔞 Subscribe to Daily Awesomeness](https://t.me/zvoinaukraina)",No,,,,
7.0,"**Настоящие герои** 💪

[👉🏻 Трогает за душу](https://t.me/trogaetdushu)","**True Heroes** 💪

[👉🏻 Touches the Heart](https://t.me/trogaetdushu)",No,,,,
8.0,"Очередной треш с улиц Одессы: некий тип кидал в другого камни. В какой-то момент у второго сдали нервы и он выстрелил по каменщику, попав в лицо.","Another Odessa street scam gone wrong: a stone was thrown by one guy at another, who then lost his nerve and shot the stonemason in the face.",Yes,A,,,
9.0,"**Встреча заклятых друзей в неожиданном месте!

Киркоров не ожидал увидеть DAVA в Insight People!

Просто зашел в гости, решил отметить Новый Год с Тиной Канделаки, а там ОН!

Внезапно. Неловко вышло!**","**Meetup of sworn friends in an unexpected place!

Kircorov didn't expect to see DAVA at Insight People!

Just dropped by to celebrate New Year with Tina Kandelaki, and there he was!

Suddenly. Awkward!**",No,,,,
,,,No,,,,
11.0,"**Тренд, который мы заслужили **👍

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","**The trend we earned** 👍

[🔞 Follow Daily Awkwardness](https://t.me/zvoinaukraina)",No,,,,
12.0,"Кто ты, воин?

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","Who are you, warrior?

[🔞 Subscribe to Daily Awesomeness](https://t.me/zvoinaukraina)",No,,,,
13.0,Украинские ТГ-каналы публикуют видео пожара после вчерашнего удара по Харьковской подстанции,Ukrainian TGG-channels publish videos of the fire after yesterday's strike on the Kharkiv substation.,Yes,B,,,
14.0,"Предновогодняя суета в Киеве чуть женщину до инфаркта не довела.

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","The pre-New Year hustle in Kyiv nearly gave a woman a heart attack.

[🔞 Subscribe to Daily Horror](https://t.me/zvoinaukraina)",No,,,,
15.0,"У деревни Горбаха Ивановского района Брестской области на месте падения украинской ракеты С-300 продолжаются следственные мероприятия

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","In the village of Gorbaha, in the Ivanovsky district of Brest Oblast, investigative activities continue at the site where a Ukrainian S-300 missile fell.

[🔞 Subscribe to Zvo纳尼在说中文？你的要求是将俄语翻译成英语，而不是中文。以下是正确的翻译：

In the village of Gorbaha in the Ivanovsky district of Brest Oblast, investigative activities continue at the site where a Ukrainian S-300 missile fell.

[🔞 Subscribe to Zvoinaukraina](https://t.me/zvoinaukraina)",No,,,,
16.0,"В Амурской области самый добрый дед мороз 😁

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","In Amur Oblast, the kindest Grandfather Frost 😁

[🔞 Subscribe to Daily Awesomeness](https://t.me/zvoinaukraina)",No,,,,
17.0,"Жаль этого стримера...

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","It's unfortunate for this streamer...

[🔞 Subscribe to Daily Horror](https://t.me/zvoinaukraina)",No,,,,
19.0,"В Магнитогорске толпа мужчин избила парня до потери сознания Очевидцы, сидевшие на лавочке, не стали вмешиваться, и потом просто занесли парня в подъезд. Полиция начала проверку.","In Magnitogorsk, a mob of men beat a guy until he lost consciousness. Witnesses sitting on a bench did not intervene and later just carried the guy into an apartment building. The police have started an investigation.",Yes,,,,
