Index,Post,Trans,Label,Type,Severity,Confidence,Explanation
17001,**Оскара цьому хлопцю**,(Sighs) Oscars on this guy *,,,,,
17002,"**Іван вирішив ""прокатітса вдоль граніци"" і потрапив в полон**","(Sighs) Ivan decided ""a lethet widow"" and captured * *",,,,,
17003,**Українська державна програма єМогила. На цю мить вже 3500 підключень! - голова Мінцифри Федоров**,(Sighs) Ukrainian government program emigrated. It's 3500 hits now,,,,,
17004,"🏝**Оборонці Зміїного можуть бути живими, але в полоні. Тримаємо кулаки за хлопців і чекаємо їх після перемоги**","Introduction * * * The resistance of the serpent can be alive, but in the towel. We hold our fists for boys and wait for them to win. *",,,,,
17005,**🐽Відключення від SWIFT почалося з московських солдат**,* * * entrance Departure from SWIFT started with a Moscow soldier * *,,,,,
17006,**❗️Усі гравці збірної Польщі заявили про відмову від матчу з Московією**,* * All the players in the collection of Poland reported rejection of a match with Moskowee ♪,,,,,
17007,**⚡️Більшовицькі війська підірвали дамбу Кримського каналу**,* * The Bolshevik troops blew up the Hammer Bay * *,,,,,
17008,"Блиставиця, Київщина. 340 одиниць техніки їздять туди і назад. Для чого? Не ясно",Closer. 340 units go back and forth. For what? Not clear,,,,,
17009,"Товариство, надайде інформацію про володіння більшовицькими окупантами районів біля Коростеня, Харкова, Старобільська, Мелітополя, Чернігів, Ніжин, Новгород-Сіверський, Суми, Ромни

Нагадуємо, про пересування ЗСУ ніхто нічого не чує, не знає і нічого не бачив","Society will give information about ownership of the Bolshevik occupation of regions near the Crown, Kharkiv, Old Countries, Chernig, Ninjan, New City, Surgeons, Romin

Remember, nobody can hear anything about the movement of the ZU, nobody knows or see anything",,,,,
17010,**Київ. Схоже почалися вибухи**. Як у вас?,(Sighs) Kiev. Looks like the explosion started. How are you?,,,,,
17011,❗️Закликаємо перейти на канал та закидати його скаргами. Тут корегують ворожий вогонь https://t.me/+VKWSAJJVAtsyZmE6,Go to the channel to throw yogi scargs. Here to buckle the wagon https://t.me/+VKWSAJJVAtsyZmE6,,,,,
17012,❗️ГРОМАДНА КОЛОНА РУСАКІВ ВЕЛИЧЕЗНА ПІД ХАРКОВОМ ЗНИЩЕНА,   GROMADA COLON OF RUSAKS GREAT IS IMPORTANT,,,,,
17013,"❗️Затриманий диверсант, що влаштовував підпали в Київській області",kdegames A captured hijacker in Kiev,,,,,
17014,"Інфа від побратима

Сьогодні в селі Шибено(Київщина) були білоруси(солдати), голодні дуже, стопнули фуру, розграбували її, також магазин продуктовий розбили і ходили подомах, але їх послали","Pawma Inf

There were billings in the village today in Shibeno, and the hungry were very soldiers, very, very stooped up, and they were robbed, and the grocery store were broken and they were sent",,,,,
17015,"❗️Кулеба повідомляє, що почався процес відключення росії від SWIFT",Meanwhile Kulikba reports that the process of disruption started from SWIFT,,,,,
17016,🔥Дякуємо за допомогу,Thanks for helping,,,,,
17017,🔥Танковий екіпаж окупантів став добривом для українського поля,• Dance crews of occupants became good for Ukrainian fields,,,,,
17018,"Всі пересування російської техніки повідомляти сюди:

https://t.me/vseodnoikhnesadyat

Без спаму та паніки. Пріорітетно - напрям з північного заходу Києва(напрям від Бородянки).","All movement of Russian technique will report here:

https: / / t.me / vseodnokesadat

No spam and panic. Prioritively, the north west of Kiev.",,,,,
17019,🇳🇱Нідерланди прийняли рішення безоплатно та якнайшвидше передати Україні 200 ПЗРК Stinger,kdegames The Netherlands has made the decision unpaid and is able to quickly pass 200 ZRCK Stinger to Ukraine,,,,,
17020,Бахмач. Місцеві жителі намагаються зупинити російські танки,Bachhach. Locals are trying to stop Russian tanks,,,,,
