Index,Post,Trans,Label,Type,Severity,Confidence,Explanation
10001,"**Коротко о российских реалиях**. А на что вы рассчитывали?🤡

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**Briefly about Russian realities. What did you expect?  

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Sign](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
10002,"**Ржавое оружие и списанные каски: Новое слово в экипировке чмобиков в оккупированном Крыму 

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**Rust weapons and decommissioned helmets: A new word in the equipment of chemobiki in the occupied Crimea

**[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Sign](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
10003,"**Илон Маск не будет отключать Starlink в Украине, даже если Минобороны откажется предоставить финансирование

**Неужели Маск вернулся в реальность? 

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","Elon Musk will not turn off Starlink in Ukraine, even if the defense Ministry refuses to provide funding

Has Musk really returned to reality?

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Sign](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
10004,"**⚡️Укрэнерго вновь вводит ограничение потребления электроэнергии во многих регионах страны

**Наибольший объем ограничения будет использован **в Киеве и Киевской, Черниговской, Черкасской, Житомирской областях.** Также** будет ограничено потребление электроэнергии в Харьковской, Полтавской, Сумской областях.** При этом глава **Хмельницкой ОВА сообщает об аварийных отключениях в области.

**Призываем всех украинцев сознательно экономить электроэнергию.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","Ukrenergo reintroduces power consumption restrictions in many regions of the country

**The largest amount of restrictions will be used ** in Kiev and Kiev, Chernihiv, Cherkasy, Zhytomyr regions.** Also** electricity consumption in Kharkiv, Poltava, Sumy regions will be limited.** At the same time, the head of **Khmelnitsky OVA reports emergency shutdowns in the region.

**We urge all Ukrainians to consciously save energy.

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Sign](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
10005,"**❗️ВСУ обращаются к российским военным: Сдавайтесь, вы нужны своим родным живыми. А для власти — расходный материал

**Украина никогда не угрожала России, что бы не говорили кремлевские пропагандисты. 

Для тех, кто сдастся в плен, **мы гарантируем соблюдение Женевских конвенций** — медицинскую помощь, связь с родными. **Если вы сдадитесь, то будете оформлены, как захваченные в плен во время боевых действий **и избежите преследования российских спецслужб. **Для сдачи в плен свяжитесь с ВСУ **по номерам: ( +38 066 580 34 98, +38 093 119 29 84, viber, WhatsApp, telegram, signal) или напишите в [официальный бот](https://t.me/spasisebyabot) проекта «Хочу жить».

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**The Russian military appeals to the Russian military: Surrender, your relatives need you alive. And for power, expendables.

Ukraine has never threatened Russia, no matter what Kremlin propagandists say.

For those who surrender, we guarantee compliance with the Geneva Conventions — medical care, communication with relatives. **If you surrender, you will be dressed up as captured during the fighting ** and avoid prosecution by the Russian special services. ** To surrender, contact the AFU ** by the numbers: (+38 066 580 34 98, +38 093 119 29 84, viber, WhatsApp, telegram, signal) or write to the [official bot] (https://t.me/spasisebyabot) of the I Want to Live project.

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Sign](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
10006,"**⚡️СБУ опубликовала доказательства сотрудничества президента ""Мотор Сич"" Вячеслава Богуслаева с Россией
** 
Согласно аудиозаписям**, он поставлял двигатели и другие запчасти к российским ударным вертолетам**, чем помогал врагу обстреливать украинские города и села, а также **оправдывал нападение России и выражал надежду, что Путин не остановит наступление своих войск.

**Ему грозит до 15 лет тюрьмы.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**а️The SBU published evidence of cooperation of the President of Motor Sich Vyacheslav Boguslayev with Russia
**
According to the audio recordings, he supplied engines and other spare parts to Russian attack helicopters to help the enemy shell Ukrainian cities and villages, and justified the Russian attack and expressed hope that Putin would not stop the offensive of his troops.

**He faces up to 15 years in prison.

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Sign](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
10007,"**⚡️Повестку следует ждать всем военнообязанным мужчинам — начальник столичного центра комплектования **[Юрий Максымив

](https://tsn.ua/exclusive/povistku-slid-chekati-vsim-viyskozobov-yazanim-cholovikam-golovniy-voyenkom-kiyeva-pro-mobilizaciyu-nayblizhchogo-chasu-2186242.html)По его словам, в 2023 году, скорее всего, мобилизация продолжится, хоть мы сейчас находимся на наивысшем ее уровне. Исходя из мобилизации в России, процесс может быть полным или частичным.  

За уклонение от службы предусмотрена уголовная ответственность – до 5 лет тюрьмы.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**и️The agenda should be waiting for all military men - the head of the capital's recruitment center ** [Yuri Maksymiv]

] (https://tsn.ua/exclusive/povistku-slid-chekati-vsim-viyskozobov-yazanim-cholovikam-golovniy-voyenkom-kiyeva-pro-mobilizaciyu-nayblizhchogo-chasu-2186242.html) According to him, in 2023, mobilization is likely to continue, although we are now at its highest level. Based on mobilization in Russia, the process can be complete or partial.

For evasion from service, criminal liability is provided - up to 5 years in prison.

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Sign](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
10008,"⚡️**Российский террор Украины с использованием дронов-мопедов ""Шахедов"" может быть ещё долго. Цель: посеять панику среди украинцев, — **[глава ГУР Буданов

](https://www.pravda.com.ua/rus/articles/2022/10/24/7373160/)Главное из его интервью:
[▪️](https://t.me/+LV7tr2_vgu02NjAy)только **30% дронов-""Шахедов"" достигают цели;
**▪️**угрозы из Беларуси ни для Волыни ни для Киева пока нет: **из РБ вывозят технику и завезли туда всего 3200 россиян;
▪️**У РФ заканчиваются ракеты**: осталось около 13% ""Искандеров"", 43% ""Калибров"", 45% Х-101 и Х-555;
▪️**Крымский мост — символ, который будет разрушен после возврата Крыма**;
[▪️](https://t.me/+LV7tr2_vgu02NjAy)Украина **может вернуть Херсон до конца года, однако вряд-ли РФ сдаст город без боёв;
**▪️**россияне заминировали лишь часть Каховской дамбы: **её подрыв ничего не даст РФ и сдержит ВСУ максимум на 2 недели;
[▪️](https://t.me/+LV7tr2_vgu02NjAy)**ядерная угроза для Украины реальна всегда, **так как у нас сосед немного больной, но сейчас она такая же, как была и 3 месяца, 8 месяцев, и 2 года назад.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","Russian terror of Ukraine using drone mopeds ""Shahedov"" can be for a long time. Purpose: to sow panic among Ukrainians - ** [head of GUR Budanov]

] (https://www.pravda.com.ua/rus/articles/2022/10/24/7373160/) Main interview:
[""️] (https://t.me/+LV7tr2_vgu02NjAy) Only **30% of Shahed drones reach their target;
*****There are no threats from Belarus to either Volyn or Kiev yet: ** Only 3200 Russians are exporting equipment from Belarus;
The Russian Federation is running out of missiles**: about 13% of the Iskanders, 43% of the Kalibrs, 45% of the Kh-101 and Kh-555 remain;
The Crimean bridge is a symbol that will be destroyed after the return of the Crimea.
Ukraine ** can return Kherson before the end of the year, but it is unlikely that Russia will surrender the city without fighting;
*****The Russians mined only part of the Kakhov dam: its detonation will not give Russia anything and will keep the APU for a maximum of 2 weeks;
[ ️] (https://t.me/+LV7tr2_vgu02NjAy)** The nuclear threat to Ukraine is always real, ** as our neighbor is a bit sick, but now it is the same as it was 3 months, 8 months, and 2 years ago.

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Sign](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
10009,"**⚡️Джонсонюк не будет выдвигать свою кандидатуру на пост премьера Великобритании, — **[**сообщает **](https://news.sky.com/story/boris-johnson-pulls-out-of-conservative-leadership-race-12728576)**Sky News

**Таким образом, **новым премьером, скорее всего, станет экс-глава минфина, 42-летний этнический индус Риши Сунак**. Именно он **инициировал бунт в правительстве**, после которого Борис Джонсон был вынужден уйти в отставку.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","Johnsoniuk will not run for prime minister of the United Kingdom, **[**reports **](https://news.sky.com/story/boris-johnson-pulls-out-of-conservative-leadership-race-12728576)**Sky News

**Thus, the new premier is likely to be the former Finance Minister, 42-year-old ethnic Hindu Rishi Sunak**. It was he who initiated the revolt in the government, after which Boris Johnson was forced to resign.

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Sign](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
10010,"**Вот как наши бойцы из ВСУ строят себе жильё. Российским воякам-бомжам такое и не снилось

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**This is how our soldiers build their homes. Russian soldiers-bombs did not dream of this

**[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Sign](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
