Index,Post,Trans,Label,Type,Severity,Confidence,Explanation
13001,"**👀Це командний пункт французької армії в рамках навчань ORION-23, всередині та ззовні. 

**🤷‍♂️Зазначається, що це не для протистояння звичайним військам, а для можливої ескалації у Сахелі. 

😐Оцініть практичність цієї конструкції на реальному театрі бойових дій по шкалі від 1 до 10.","* * * entrance This is the command point of the French army in terms of ORION23, inside and outside.

* * It means that it's not for the fighting of ordinary fighters, but for the possibility of escalation in Salem.

Rate the practice of this design at the real theater of combat operations from 1 to 10.",,,,,
13002,"**⚡️****Наші друзі з окремого підрозділу ЗСУ** **«УНСО Київ» оголошують набір в свої лави.

**🫡Якщо у вас є бажання долучитися до підрозділу та захищати країну - [заповнюйте анкету](https://docs.google.com/forms/d/e/1FAIpQLSf5fXXE9gAC_gkj_0lo68nwKvkZzJXay3CeigpMjG2DdhuTWw/viewform?usp=sf_link) або звертайся по номеру** +380 (63) 678 29 20.

**🇺🇦Запиши своє ім’я на сторінках української історії!","* * * * Our friends from a separate section of the Zoo * * ""The Kyiv"" are declaring a set in their labors.

* * * entrance If you want to join the subsection and protect the country - [fill in the questionnaire] (https: / / docs.google.com / forms / d / e / 1FAIpQS5ffffffffffXXE9AC _ 0loj _ 0lo68wKvkZYXJXJXJXJ2DameG2DwTw / viewm? = sf _ w382828272727272727282822228228222222228888m (*)

* * Write your name in the pages of Ukrainian history!",,,,,
13003,"🇺🇸**США обміняли баскетболістку Брітні Ґрінер

**🏀Американка раніше виступала за олімпійську збірну США, а від 2016-го року почала грати за команду УГМК з Єкатеринбурга, яка є чинним чемпіоном Московії та Євроліги.

✈️Історія розпочалася 17 лютого 2022, коли її затримали в аеропорту Шеремєтьєво, нібито за перевезення гашишного масла — наркотичної речовини. 4 серпня її приговорили до 9 років позбавлення волі, та одного мільйону рублів штрафу.

💰За спортсменку московія вимагала торгівця зброєю Віктора Бута, якийсь після розпаду СРСР заснував приватну компанію і постачав тони різноманітної зброї до країн Африки.  Його затримали 6 березня 2008-го року в Таїланді, за поданням прокуратури США. 2010-го його екстрадували до США, а 2012-го ухвалили вирок — 25 років ув'язнення та 15 мільйонів доларів штрафу.

🇦🇪Обмін відбувся в аеропорту Абу-Дабі, з юридичної точки зору баскетболістка та торговець зброєю були помилувані.

[Магазин](https://deepstateua.shop/)🛑[Блог](https://deepstateua.com/)🛑[Мапа](https://deepstatemap.live/)🛑[Написати нам](http://t.me/newsDeepStatebot)🛑[Звіти](https://help.deepstateua.com/)🛑[ЗСУHelp](https://t.me/help_deepstateua)","In exchange for Britney Granner,

* * * entrance American was earlier in the United States Olympics, and since 2016, it started playing at the GMK team in Yacteringburg, which is a valid Moscow champion and Euroligs champion.

kdegames The story began 17 February 2022, when it was delayed at Sherimyvo Airport, supposedly carrying a hazish butter -- a drug. August 4, she was sentenced to nine years of imprisonment, and one million lawbits.

• • ""The United States"" () • The United States of Africa. He was apprehended by March 6th, 2008th, in Thailand, with the U.S. Attorney's office. 2010, he was extrapited to the United States, and 2012 was convicted of 25 years of prison and 15 million dollars a ticket.

kdegames The exchange was at Abub-Dhabi's airport, and from a legal point of view, basketball and weapons merchants were wrong.

[Magician] (https: / / deepstate.stop /) festival (https: / / deepstatopa.com /) Copyright [Mp] (https: / / depword. live /) Write us] (http: / / t.me / newsDisepStatbot) Festival [Reports] (https: / / help .deepstate.com /) Note [SUHelp] (https: / / t.me / help _ deepstatpa)",,,,,
13004,"🕶🕶🕶** на фронтах станом на 7 грудня

****⏩****На кордоні з біломосковією **[-](https://deepstatemap.live/) без змін. 7-8 грудня незаконні збройні формування помилки на політичній карті світу проведуть антитерористичні навчання з перекиданням техніки.[[пруф](https://www.reuters.com/world/europe/belarus-move-military-equipment-forces-check-terrorism-response-2022-12-07/)]

**⏩****На** **Сватівському** напрямку - тривають позиційні бої.

**⏩****Бахмутський **відтинок - в Білогорівці тривають стрілецькі бої, ціною втрат та героїзму, нашим воїнам вдається стримати кацапів. Ворог повідомляє про захоплення всієї Яковлівки, інформація перевіряється. На східних околицях Бахмута більшовикам вдалося зайняти позиції в лісі, захопити віконний завод та міське сміттєзвалише.

**⏩****Авдіївський** відтинок - йдуть важкі бої, без змін. 
 
**⏩****Запорізький **відтинок - без змін. 

**⏩****Таврійський** відтинок - без змін. 

⏺⏺Оновлення протягом 20 секунд.

🕶 Триває збір привітань до проекту ""Фронтова стіна"". 24 грудня на сайті мапи з'явиться у вигляді додаткового функціоналу. Наші військові можуть надсилати вітання зі святами країні, своєму місту/селищу/селу чи близьким через [спеціальну форму](https://forms.gle/LpDArSHnWM8o47YS8). 

[🖍](https://deepstatemap.live/#6/49.438/32.053)У випадку **неточностей на карті**, ви можете нам повідомити через бот @newsdeepstatebot. 

🛑Нагадуємо, що в загальному доступі не може існувати точної карти бойових дій, а інформацію, як переможну так і не дуже, завжди краще сприймати зі скепсисом і чекати візуальних підтверджень чи повідомлення ГШ ЗСУ. Ну і звісно, довіряйте перевіреним джерелам.","Synchronized * * on the front of December 7th

(Ring) At the Belomasque border * * * [-] (https: / / deepstatema.live /) without change. On the 78th December, illegal armed forms of error on the political map of the world will be broadcast by anti-terrorism training with cutting technology. [Whoops] (https: / / www.reuters.com / world / europae / belaremove-military-equement-forc-check-term-respond-2022-1207 /)

* * * (Ring) Svativsky!

* * * The Bachmese * * the discount -- the Biolstard has an armistice, the price of loss and heroism, our warriors are able to hold the carcasses. The enemy reports the capture of the entire Jaws, the information is checked. On the eastern outskirts of Bahmurth, the Bolsheviks were able to take positions in the woods, grab a window factory, and a city trash can.

* * * Adizewski!

* * * Cursed * * Silence - no change.

* * * Taubian * * * Silence - no change.

kdegames Update for 20 seconds.

* * * * * December 24, the map site will appear as an additional function. Our military can send greetings to the country, to their city / village or close through [special form] (https: / / forms.gle / LpDArSHn7YS8).

[https] (https: / / deepstatemap.live / # 6 / 49.438 / 32.053) In the case of * * inaccurate on the map * *, you can tell us through the hit @ newsdepstatbot.

Now, notice that, in general, there can't be an exact map of combat action, and information like the winner and not very much, is always better to look at the skepticism and wait for visual evidence or message. Of course, trust the original sources.",,,,,
13005,"🕶 **Адвент. День 7 - село Берестове, Донеччина

**🔫 Ворог не міг взяти місто піхотними підрозділами, тому для того, щоб змусити ЗСУ відійти, було прийнято рішення просто стерти село артилерією. Більшовикам дуже дорого обійшлося його зайняти.

🇺🇦 deepstatemap.live/#16/48.7543/38.2568

⬇️У коментарях світлина без стиснення.","Introduction * * * Advent. Day 7 - Coast village, Donchecha

* * * entrance The enemy could not take the city of infantry units, so that in order to force the Zosod to retreat, the decision was to simply erase the village of artillery. The Bolsheviks had to take him very expensive.

Stephan delepstatemax / # 16 / 48.7543 / 38.2568

kdegames No compression in comments.",,,,,
13006,"🇺🇦 **Президента України Володимира Зеленського та ""дух України"" визнано персоною року за версією журналу Time

**[Магазин](https://deepstateua.shop/)🛑[Блог](https://deepstateua.com/)🛑[Мапа](https://deepstatemap.live/)🛑[Написати нам](http://t.me/newsDeepStatebot)🛑[Звіти](https://help.deepstateua.com/)🛑[ЗСУHelp](https://t.me/help_deepstateua)","Bytes * * * The President of Ukraine, Vladimir Zielinski and ""spirit of Ukraine,"" is recognized as a member of the Time log year.

* * [Magician] (https: / / deepstate.shop /) Ping [Blog] (https: / / deepstate.org /) St. [Map] (https: / / deepstatemaster.live /) holiday [] Write us] (http: / / t.me / newsDisepStatbot) Festival [Reports] (https: / / help .deepstate.com /) Note [SUHelp] (https: / / t.me / help _ deepstatpa)",,,,,
13007,"🥔**У біломосковії хочуть запровадити смертну кару за державну зраду для чиновників та військових - законопроект прийнятий депутатами у першому читанні** -** повідомила пресслужба Палати представників Національних зборів Білорусі

**📜Був ухвалений законопроект **""Про зміну кодексів з питань кримінальної відповідальності""**, де вносяться зміни до частини 2 статті 356 КК Білорусі. У відомстві зазначають, що такі заходи здійсненні з метою __""надання стримуючого впливу на деструктивні елементи, а також демонстрації рішучої боротьби зі зрадою державі""

__👀Схоже бульбофюрера почали хвилювати заклики про здачу в полон при наступі, а також присутність схвалення такої ідеї серед самих військових, адже ніхто вмирати через ідіотів не хоче, а прийшовши на українську землю саме така доля чекає на кожного ворога - смерть! 

🫠P.S. на картинці продемонстровано потенційний наслідок білорашок, які захочуть вторгнутися на нашу землю.","Introduction * * * In Belomoponia, they want to launch a death penalty for public treason for bureaucrats and military officials - a bill taken in first reading * - * sent by the House of representatives of the National Assembly of Belarus

* * * entrance The Law has been approved * ""About changing the code for criminal responsibility,"" *, where changes are made to part 2 article 356 K Belarus. In the domain, it says that these measures are done for the purpose of _ _ ""to give a restraint effect on the destructive elements, as well as a demonstration of a decisive struggle with the treason of the state.""

_ extension It looks like a boulboggard started to wave the calls of surrender at the next time, and there's a kind of approval of such an idea among the military themselves, because no one wants to die because of idiots, and when it comes to the French, it's the kind of fate that awaits every enemy -- death!

According to P. S., the picture demonstrated a potential consequence of proteins that would want to invade our land.",,,,,
13008,"🕶🕶🕶** на фронтах станом на 6 грудня

****⏩****На кордоні з біломосковією **[-](https://deepstatemap.live/) без змін. 

**⏩****На** **Сватівському** напрямку - тривають позиційні бої.

**⏩****Бахмутський **відтинок - ворог має незначні успіхи на східних околицях Бахмута. Продовжуються бої на східних та південних околицях міста.

⏺Кацапи активізувалися в районі Білогорівки та Спірного. Уточнено зелену зону в Білогорівці, судячи з відео удару ворогом по наших позиціях.

**⏩****Авдіївський** відтинок - бої в Первомайському. Ближче до Авдіївки ворог починає насичення артилерією, останні два дні її стало відчутно більше. Ворог атакував наші позиції східніше Водяного, результат невідомий. Тривають спроби ворога просунутися до Невельського та до центру Мар'їнки. 
 
**⏩****Запорізький **відтинок - без змін. Проведено уточнення в Новодарівці.

**⏩****Таврійський** відтинок - без змін. 

⏺⏺Оновлення протягом 30 хвилин.

🕶 Сьогодні стартував проект ""Фронтова стіна"". 24 грудня на сайті мапи з'явиться у вигляді додаткового функціоналу. Наші військові можуть надсилати вітання зі святами країні, своєму місту/селищу/селу чи близьким через [спеціальну форму](https://forms.gle/LpDArSHnWM8o47YS8). 

[🖍](https://deepstatemap.live/#6/49.438/32.053)У випадку **неточностей на карті**, ви можете нам повідомити через бот @newsdeepstatebot. 

🛑Нагадуємо, що в загальному доступі не може існувати точної карти бойових дій, а інформацію, як переможну так і не дуже, завжди краще сприймати зі скепсисом і чекати візуальних підтверджень чи повідомлення ГШ ЗСУ. Ну і звісно, довіряйте перевіреним джерелам.","Synchronized * * on the front of December 6th

(Ring) At the Belomasque border * * * [-] (https: / / deepstatema.live /) without change.

* * * (Ring) Svativsky!

* * * Bahmutian * * the waste is an enemy having a little bit of progress on the eastern outskirts of Bahmutha. There are wars continuing on the eastern and south outskirts of town.

Sir, the Caucasus has been activated in the Bitorika area and the Spacebar. There is a green zone in the Bithode, judging from the video of the enemy's strike in our positions.

* * * Astraiwski! The closest to Austria is an enemy starting to become an artillery, the last two days, it's been felt more. The enemy attacked our positions in the east of our clothes, the result is unknown. There are attempts for an enemy to reach the Neverland and the Maroon Center.

* * * Cursed * * Silence - no change. It's been submitted to the novedite.

* * * Taubian * * * Silence - no change.

kdegames Updating for 30 minutes.

This was a project called the Front Wall. December 24, the map site will appear as an additional function. Our military can send greetings to the country, to their city / village or close through [special form] (https: / / forms.gle / LpDArSHn7YS8).

[https] (https: / / deepstatemap.live / # 6 / 49.438 / 32.053) In the case of * * inaccurate on the map * *, you can tell us through the hit @ newsdepstatbot.

Now, notice that, in general, there can't be an exact map of combat action, and information like the winner and not very much, is always better to look at the skepticism and wait for visual evidence or message. Of course, trust the original sources.",,,,,
13009,"🕶 **Адвент. День 6 - Григорівка та Білогорівка

**🔫Якщо враховувати концентрацію ям від роботи артилерії, то це можливо найбільш ""побите"" місце у цій війні. Влітку ворог готував собі плацдарм для висадки та подальшого захоплення Сіверська, тому по цим селам наносився шквальний вогонь. Коли наші втратили Білогорівку, то вже наша артилерія змушувала ворога зупинитися.

⬇️У коментарях світлина без стиснення.","Introduction * * * Advent. Day 6 - Grigory and Bithodist

* * * entrance If you consider the concentration of artillery, it's probably the most ""beaten"" place in this war. In summer, the enemy prepared himself a gift for the landing and further admiration of the Siverski, so the villages followed a swift fire. When our blogger lost us, our artillery has made the enemy stop.

kdegames No compression in comments.",,,,,
13010,"🇱🇹🏗**Сьогодні у Литві демонтують 6 стел із зображенням солдат Радянського союзу 

**На столичному цвинтарі **Антакальніс** у Вільнюсі триває демонтаж пам'ятника, що присвячувався ""__звільненню Литви та Європи від нацизму__"" (за словами посольства Московії), проте мер Вільнюса чітко окреслив позицію уряду: 

💭«__Ми робимо це шанобливо, чітко, могили не руйнуємо, і ми очистимо себе від цього радянського символу. **Щасливий день, щасливий момент**.. Всім зрозуміло, про що це місце і що це не надгробок, **а ідеологічний знак** на території цвинтаря, що є неадекватним у західному світі.»__, - зазначив очільник міста Ремігіюс Шимашюс. 

🤕Посольство Московії вже відреагувало та як зазвичай назвало демонтаж **""__актом вандалізму__""**:

💭«__Такі варварські знущання над мертвими викликають у кожної нормальної людини лише глибоке презирство та небачене обурення__»

🤷‍♂️Опісля демонтажу вивезені скульптури муніципалітет обіцяє передати Національному музею Литви. Це має відбутись **вже наступного тижня. 

**🕵🏻‍♂️**Цікавий факт** - комітет з прав людини ООН закликав місцевий уряд не зносити меморіал, оскільки кілька громадян Литви, що ідентифікують себе ""етнічними росіянами"", намагались оскаржити рішення про демонтаж меморіалу. Однак мер Вільнюса заявив, що муніципалітет не має наміру звітувати перед комітетом щодо знесення постаменту.","Math Today, there are six walls in Lithuania with an image of the Soviet Union soldier.

(Sighs) There is a monument in Vilnius, devoted to ""_ liberating Lithuania and Europe from the Nazi _ _"" (according to the Moskowee Embassy), but the mayor Wilsey clearly delays the government's position:

We do this respectfully, clearly, we don't destroy the graves, and we clear ourselves from that Soviet symbol. (Sighs) Happy day, happy moment *... Everybody knows that this place and that it's not superglass, * * but an ideological sign * * in the territory of the cemetery, which is undeniable in the Western world. """" _, ""said the president of the city of Ramiguus Schimachus.

The meeting of the Moskowian Embassy has been reactivated and was commonly called dismounting * * _ _ _ using vandalism _ *:

""_ Such barbarous torturing the dead"" in every normal person is just a deep contempt and an unknowable resentment of _ _ _ ""

KSpread After demonstrating the sculptures of the municipal palate the National Museum of Lithuania. This should happen * * next week.

* * An interesting fact * * - The U.N. Human Rights Committee called the local government not to take the memorial because a few Luta citizens who identified themselves as ""ethnic Russians,"" were trying to question the decision about demonstrating the memorial. However, the mayor of Willis claims that the municipal organization does not intend to report before the demolition committee.",,,,,
