Sr. no.,Channel ID,Post ID,Post
1,1366346975,51897,"**Боевая работа морпехов Тихоокеанского флота

**В наступлении под **Угледаром** принимают участие бойцы **155 отдельной бригады морской пехоты** Тихоокеанского флота, которые действуют совместно с другими частями Восточного военного округа и Народной Милиции ДНР.

В кадр попали боевые машины пехоты БМП-3Ф, которые [доставляют к переднему краю](https://t.me/boris_rozhin/60630) личный состав и боекомплект и оперативно покидают позиции. Местность на Угледарском направлении представляет собой степь с небольшим количеством лесопосадок, и долгое нахождение на одной позиции чревато обнаружением и последующим поражением техники.

На видео также есть момент пленения украинского военнослужащего. Он находился в окопе, но не выдержал обстрела и самостоятельно с поднятыми руками вышел к позициям морпехов. Весь процесс зафиксировал беспилотник.

Это является наглядным примером важности превосходства в артиллерии: **под непрерывным и точным огневым воздействием морально-психологическое состояние противника падает,** что сильно сказывается на его боеспособности вплоть до покидание позиций и сдачи в плен.
#Донецк #Россия #Угледар #Украина
@rybar"
2,1469021333,12646,"СБУ звільнила з полону сина військової, від якої рашисти вимагали розвіддані

Для звільнення дитини Служба безпеки України провела спецоперацію у Чернігівській області, коли цей регіон був тимчасово окупований військами загарбників. 

Із початком повномасштабного вторгнення рф мати хлопчика – військовослужбовець-контрактниця ЗСУ – задля безпеки відправила його до родичів в одне з сіл на Чернігівщині.

Та невдовзі село опинилося під тимчасовою окупацією, зв’язок із сином було втрачено.

Через декілька днів на телефон матері надійшов дзвінок з невідомого номера. Їй повідомили, що син у полоні. Окупанти висунули умову звільнення підлітка: в обмін на інформацію про розміщення низки військових об’єктів ЗСУ, які дислокуються на території регіону.

Жінка звернулася за допомогою до СБУ. У відповідь контррозвідники спецслужби розробили та провели успішну спецоперацію з порятунку дитини. 

Матеріали слідства долучені до численних доказів порушення окупантами законів та звичаїв війни.

#СБУ
#stoprussia"
3,1366346975,52489,"**Батя Аркстовича рассказал как сбивать российские самолёты ружьём не привлекая внимания санитаров **

Упоротые недоумки из сплорейха разгоняют очередную победу в интернете. Якобы дед из двухстволки смог завалить российский истребитель Су-34. Пока ВСУ продолжает «побеждать» ВС РФ в интернете, российская армия уничтожает укронацистов в реале."
4,1498939244,33482,"Польша инициировала созыв Совета НАТО в соответствии со статьей 4 основного договора — глава МИД Венгрии.

Статья 4 гласит: «Договаривающиеся стороны всегда будут консультироваться друг с другом в случае, если, по мнению какой-либо из них, территориальная целостность, политическая независимость или безопасность какой-либо из договаривающихся сторон окажутся под угрозой»."
5,1498939244,29972,Пожар на объекте в Николаеве 🔥
6,1247556894,4381,"Друзі! Ворог не вгамовується і веде війну по всіх фронтах - зокрема, з дезінформації, з дискредитації українських політиків. Щоб розсварити з європейськими партнерами, щоб Україні не допомагали. 

Вчора нібито від мого імені мерам кількох європейських столиць з фальшивої поштової адреси розіслали запити на спілкування через ZOOM. Оскільки наші друзі реагують оперативно і підтримують нас, мери Берліна та Мадрида погодилися на розмову. І за допомогою технології DeepFake з ними говорив зловмисник, видаючи себе за Кличка.

Переконаний, правоохоронці повинні розслідувати таку ""діяльність"". Якщо треба - залучити іноземних фахівців. 
До речі, гібридна війна, дезинформація з боку росії - одна з тем панельної дискусії, в якій ми з братом маємо брати участь на саміті НАТО в Мадриді наступного тижня."
7,1144404150,12632,"🇷🇺🇺🇦 В **Бердянске** группа жителей попыталась в очередной раз провести проукраинский митинг, однако сотрудники Росгвардии задержали провокаторов.
#Запорожье #Россия #Украина
@rybar

__*Поддержать нас: 4377 7278 0407 7977__"
8,1283359437,39063,"Кировский район Донецка под огнём укронацистов. Работает ""натовская"" 155-мм артиллерия. Известно уже как минимум об одном пострадавшем — ранена женщина 1976 г.р. В эти минуты обстрел продолжается.

@voenkorKotenok"
9,1283359437,41886,"«Всем, кто выдает справки (о мобилизации), нужно полностью изменить свое отношение к вопросу. Не пытаться перевести стрелки и ответственность на других»

Андрей Воробьев @vorobiev_live снова в эфире, на этот раз с семьями мобилизованных. Жительница Подмосковья рассказала, что ее единственного сына мобилизовали, а ее заставили ходить по кабинетам, чтобы получить одну подтверждающую справку. 

Будем надеяться, что слова губернатора услышат все, кто должен."
10,1144404150,14925,"**""Атака спереди, экипаж""** 

Эксклюзивные кадры работы российских военных вертолётов по позициям ВСУ на изюмском направлении. Авиация била по врагу, уворачиваясь от украино-американских ""Стингеров""."
