Sr. no.,Channel ID,Post ID,Post
1,1457892982,24910,"Сводка от Конашенкова

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)"
2,1080134301,17955,Прилет по пикапу ВСУ
3,1457892982,26816,"❗️Центр Киева

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)"
4,1469021333,12944,"**🎥Ще одне відео, локація та сама**"
5,1498939244,33128,"Все таки правильно себя польские паны с хохлами ведут, как с собаками, сапогом в морду. Потому как если хохлу его место не указывать, он говорить гадости начнет. Вот перестали угарать над вечно просящим с протянутой рукой хохлом, он чужие деньги считать начал.

Место у хохла одно - на паперти церковной, западным хозяевам в ноги кланяться, да землю донбасскую собой удобрять."
6,1283359437,40263,"Так в эти минуты выглядит харьковское метро. Город обесточен.

@voenkorKotenok"
7,1498939244,32420,"ЕС выделил Украине 25,5 миллионов евро на поддержание энергосистемы и предоставил энергооборудование «на миллионы евро», — Еврокомиссия"
8,1457892982,23711,"**Хорошее назначение. И фамилия интересная. Как раз для таможни.

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)"
9,1536211233,1672,"**⚡️Zelenskyy: 15 people were killed in Dnipropetrovsk region, 50 more wounded**

A Russian missile struck the Chaplyne railway station. At the moment, 4 passenger cars are on fire. At least 15 dead and 50 wounded are known at this time.

**⚡️Зеленский: 15 человек погибли в Днепропетровской области, еще 50 ранено**

Российская ракета попала по железнодорожной станции Чаплино. На данный момент 4 пассажирских вагона горят. Известно по меньшей мере о 15 погибших и 50 раненых на данный момент."
10,1283359437,37629,"ВСУ с самого утра продолжают обстреливать Донецк из натовской артиллерии.

@voenkorKotenok"
11,1469021333,13431,"**🧨Кацапи стверджують що відбулася бавовна на Антонівському мосту

**[Магазин](https://deepstateua.shop/)▫️[Твітер▫️](https://twitter.com/Deepstate_UA)[Ютуб](https://www.youtube.com/channel/UCMGRXVYg1wMA6e4zTGX-DwQ)▫️[Мапа](https://deepstatemap.live/)▫️[Написати нам▫️](http://t.me/newsDeepStatebot)[Звіти](https://sites.google.com/view/deepstate-donate/report?authuser=0)"
12,1164348791,5797,"ПО РОССИЙСКОМУ ХОККЕЙНОМУ ВРАТАРЮ ОДИН ТОЛЬКО ВОПРОС: «ЗАЧЕМ ВСЁ ЭТО ДЕЛАЕТСЯ»! 

Похоже не на принцип, а на чьи-то частные разборки."
13,1283359437,38172,"⚡️Джонсон подтвердил уход с постов премьер-министра Великобритании и лидера Консервативной партии.

@voenkorKotenok"
14,1498939244,35223,Взрывы звучат также и в Херсоне.
