Sr. no.,Channel ID,Post ID,Post
1,1511148555,12409,"‼️Боец ЧВК ""Вагнера"" убедил пленного ВСУшника, что он попал к своим. Это было пару месяцев назад — но сейчас мы нашли героев этого сюжета.

Яша (это позывной) родом из Донецка. До 2014 года он служил в киевском Беркуте. Но после Майдана ушёл в ополчение ДНР защищать родной город. 

Из народной милиции Яша попал в ""Вагнер"" — и открыл там в себе знатного тролля. На видео  — эпичный допрос, в котором ВСУшник перестаёт понимать, где он и что он.
💤лох-это диагноз 😂"
2,1511148555,10441,"❗️Армия РФ пошла в наступление.

В городе Никополь (Днепропетровская область) утюжат ВСУ из всех орудий. 
Сообщают о применении зажигательных снарядов.

Хохлы, ебало к осмотру.

💤Долбаёбы хохлы на первом видео не могут блять отличить осветительные снаряды от фосфорных (которые они использовали против жителей Донецка). Главное сказать своим вонючим ртом «ти шоооо это фосфорные снаряды» укропидарасы"
3,1457892982,24692,"**""ВДВ бежало быстрее чем Усейн Болт"", — короткий, но яркий комментарий наших бойцов по ситуации на Харьковщине

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)"
4,1164348791,5758,"ПО ОФИЦИАЛЬНЫМ ДАННЫМ НАШИ ДОБИВАЮТ ПОД ЛИСИЧАНСКОМ 10-ю ГОРНУЮ БРИГАДУ ВСУ. 

79-я бригада, 25-я бригада… Знакомые наименования, только теперь в контексте «несут большие потери». Интересна будущая судьба 56-й украинской бригады, обстреливающей Донецк. 

Им, в свете нынешних обменов, надо будет еще доехать до плена. Это будет им счастье. А потом суд в ДНР. Ну и… Обмен наверное, да? 

11-й полк уничтожает врага."
5,1366346975,55158,"По продвижениям.

1. Военкор Среда сообщает на утро, что ЧВК ""Вагнер"" взяла большую часть Кодемы (скоро будут материалы из поселка). Бои за западную часть поселка еще идут. Противника давят.

2. Также с утра были сообщения о взятии Майорска рядом с Горловкой. Фото/видео подтверждений оттуда на данный момент пока нет.

3. По андреевскому плацдарму. На утро бои шли у Костромки, Благодатного, Сухого Ставка + на севере у Петровки и Высокополья."
6,1511148555,9295,"⚡️🇧🇬**МИД Болгарии призывает воздержаться от поездок в Россию **и рекомендует своим гражданам подумать над возможностью срочно покинуть территорию РФ в связи с усложняющейся обстановкой. 

💤До свидания! Не возвращайтесь!"
7,1366346975,49213,"Разведчик одного из подразделений СПН и бронеавтомобиль *Рысь* в зоне проведения СВО.
@Ugolok_Sitha"
8,1457892982,27978,"**На России новое падение военного самолёта: в Иркутске борт рухнул на двухэтажный дом

**По предварительным данным, это Су-30. Борт упал в микрорайоне Ново-Ленино. Информации о пострадавших пока нет.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)"
9,1080134301,18094,"**В Тюмени очень не любят обочечников.

**Водитель на «четырке» подрезал автомобиль УАЗ, владелец которого вышел и побил нахала. По итогу разъяренный мужчина ещё и вырвал ключи ВАЗа и выкинул их."
10,1498939244,36087,"Очень интересно будет потом послушать мнение Затулина и других уважаемых экспертов с федеральных каналов о том, что на войне не надо стремится убивать врагов по ту сторону линии фронта"
11,1469021333,12421,"**🇨🇿Мер Праги подав на розгляд постанову про позбавлення маршала Конєва статуса почесного громадянина Праги. Рішення розглянуть в понеділок. Його звинувачують у бомбардуванні Млади-Болеслав, де були цивільні та придушені угорського повстання 1956 року

**Два роки тому на місце пам'ятнику маршалу встановили символ радянської та московської армії - ""зкомуніжжений"" унітаз. 

А в нас досі переживають за збереження радянських символів...

[Пруф](https://www.blesk.cz/clanek/regiony-praha-praha-zpravy/711723/marsal-konev-prisel-v-praze-o-sochu-vezmou-mu-i-cestne-obcanstvi-po-valce-bombardoval-boleslav.html)"
12,1366346975,50517,🇷🇺🗡 **Гиперзвуковым «Кинжалом» уничтожен заглубленный командный пункт ВВС Украины** в Винницкой области
13,1469021333,10549,"⚡️Маріупольска міська рада: ""1582 мирних маріупольця вбито російськими окупаційними військами за 12 діб блокади міста та нещадного обстрілу житлових кварталів"""
14,1129015804,12722,"В северном Ираке при ударе неизвестного БПЛА в г. Синджар погибли трое человек, в т.ч. ребенок, еще шесть получили ранения. Как сообщается, один из снарядов дрон выпустил в направлении расположения езидских ""Сил сопротивления Синджара"" (ССС). Информации о разрушениях и жертвах пока нет. Второй удар пришелся по жилым зданиям и магазинам, где в тот момент находились люди. Власти региона обвинили в ударах ВС Турции, т.к. одной из целью дрона была часть ССС, которая, по мнению Анкары, сотрудничает с ""Рабочей партией Курдистана"", признанной властями Турции террористической организацией."
