Sr. no.,Channel ID,Post ID,Post
1,1511148555,13617,"Азербайджанец Зия Надыров телепортнулся к Бандере.

Педофил и ариец по совместительству, сражавшийся за Бандеру.

Очень удачное заземление"
2,1080134301,20960,"**Забайкальский казак избил украинцев за протест против РФ в Австралии. **Об этом пишут австралийские СМИ. 

Вся ситуация закончилась массовой потасовкой, а самого атамана Семена Бойкова задержали и увезли в СИЗО.

Недавно он попросил российское гражданство у генконсула в Сиднее Игоря Аржанова из-за угрозы своей свободы и безопасности за пророссийскую позицию."
3,1247556894,3290,"🚎**У Києві запустили ще 4 тролейбусні маршрути – № 6К, № 24, № 32Д, № 34К

**Тролейбуси курсують:

**▫️№ 6К **– від Мінського масиву до вулиці Сирецької
**▫️№ 24** – від вулиці Північної до проспекту Свободи
**▫️№ 32Д** – від вулиці Північної до вулиці Сирецької
**▫️№ 34К**  – від вулиці Північної через проспект Героїв Сталінграда до проспекту Степана Бандери.

✔️Тепер у місті працюють 8 тролейбусних маршрутів. Днями запустили 4 маршрути у Солом'янському районі: [№ 3, № 8, № 9К та №17](https://t.me/KyivCityOfficial/3249)."
4,1080134301,15341,"**Рамзан Кадыров пишет

**Настолько смешны потуги сопротивления украинских нациков, что это вызывает неподдельный приступ хохота у наших бойцов. Вот так и была освобождена вся Луганская Республика. Сначала наш спецназ побеждал смех над врагом, а затем и самого врага.🤣🤣🤣🤣 

Нацики, бандеровцы, не смешите нас коварно и безжалостно. Так нечестно!🤣🤣🤣🤣"
5,1498939244,35415,"После Бахмута второй самый горячий участок фронта, это конечно Сватово-Кременная, а если точнее кусок от Кременной до Макеевки (ЛНР). И на севере и на юге данного отрезка идут встречные бои, на севере ( направления Площанка-Макеевка-Невское) мы ведём наступательные действия, южнее (Червона Диброва), наступать пытается хохол. 

По ощущениям работа артиллерии сильнее в Кременной, но это вполне может быть субъективное мнение. На севере данного участка фронт шире и вероятно данные ощущения связаны именно с этим. Аномальные для данных широт декабрьские морозы остались в прошлом, сейчас типичная Донбасская зима с туманами, дождями, мокрым снегом и грязью. 

Лесополки, за которые идут основные бои, стоят не только без листьев, но даже зачастую без веток, сказываются беспрестанные удары артиллерии, авиации,минометов, танков, АГС. На тех участках, что перешли к нам в результате наступления, множество трупов противника, причем не свежих, а двух-трёхнедельный давности, лежат с тех самых пор, как ВСУ лезли с упорством осла в наступление по одному и тому же маршруту. Почему хохлы их не вывезли, я честно сказать не понимаю. Тяжёлые бои в тяжелых погодных условиях продолжаются, идет встречное сражение за инициативу."
6,1498939244,31037,"Свердловская область остается одним из последних регионов в РФ, где власти не оказывают никакой помощи и поддержки мобилизованным. Вообще. Ноль. Это не просто ""болт забили"", это хуже.

Очень надеюсь, что эта информация рано или поздно дойдет до Москвы и там насадят, наконец, наших нерадивых чинуш на кукан и провернут до щелчка. Чтобы мозги вправить."
7,1498939244,31652,"Война на Украине заставила ( я по крайней мере на это надеюсь) кардинально пересмотреть вопрос  номенклатуры вооружений, необходимых для современной войны. Радует, что сейчас даже в линейных подразделениях ( хотя далеко и не во всех), на вооружении появляются высокоточные снайперские комплексы. Вот этот Доминатор Лобаева, находится в руках снайпера не из состава ССО или бригад спецназа, а в обычной мотострелковой дивизии. И буквально за час до этого фото, он с 800 метров отправил на тот свет бойца ВСУ, причём это был уже второй всушник за один выход."
8,1109403194,35432,"Меня поправляют подписчики, что в Белгороде на подстанции был не теракт, а авария с замыканием. Ну ок. Но к словам Залужного, объявившего 2023 год - годом террора против мирного населения России и освобожденных территорий в любом случае надо отнестись со всей серьезностью.

https://t.me/sashakots/35430"
9,1498939244,33449,"Тем временем, воздушная тревога в половине 404."
10,1469021333,12758,"**📍Починаємо традиційний п'ятничний квест

**На годиннику 19:50 і є 10 хвилин щоб встигнути зайти і зареєструватися. О 20:00 почнемo. 10 локацій по 4 хвилини на кожну. Топ-3 можуть залишити скріншот в коментарях після, щоб потрапити в наш OSINT-діалог.

**👉🏻****https://www.geoguessr.com/join/MTXH**"
11,1457892982,30450,"**Baykar провел первый полет своего беспилотного военного самолета Bayraktar Kızılelma

**Самолет развивает скорость до 630 км/ч на высоте до 1 км, длительность полета - около 5 часов.

Хорошая штука, надо присмотреться😏

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)"
12,1511148555,9699,"Уточнение:
**⚡️⚡️Членство Украины в НАТО поддержали уже 12 стран**. 

Официально:**
**
— Чехии, 
— Эстонии, 
— Латвии, 
— Литвы, 
— Северной Македонии,
— Черногории,
— Польши,
— Румынии,
— Словакии. 

Словесно высказались «за»:

— Канада,
— Германия,
— США.

😂😂😂😂😂😂"
13,1366346975,54353,"**🇷🇺В Белгородской области найдены обломки сбитой ""Точки-У""**

В Яковлевском районе Белгородской области были найдены остатки сбитой украинской ракеты от ""Точки-У""

Местным жителям также удалось снять на видео остаточную ступень ракеты ПВО от комплекса ""Панцирь-С1""

@anna_news"
14,1366346975,52425,"ВГА Херсонской области сообщают, что силы ПВО ВС РФ успешно отразили атаку ВСУ на Новую Каховку, сбив запущенные ракеты."
15,1498939244,30696,"На данный момент обесточены Харьковская, Львовская, Тернопольская, Полтавская, и Сумская области. В Киеве и ряде других крупных городов проблемы с мобильной связью."
16,1144404150,17818,"‼️🇷🇺**Провал 1-го наступления ВСУ на юге: как ""Призрак Херсона"" уничтожил 3 БМП врага** **— 2 серия
**29 августа **""Призрак Херсона"" из ВДВ **на БПЛА решил добить технику разрозненных и разбежавшихся ВСУшников и забросил им несколько взрывных подарков. Как итог — детонация боекомплекта у двух ""бэх"" украинских боевиков, одна подгорела внутри. #эксклюзив с фронта
Начало этого боя [**по ссылке
**](https://t.me/RVvoenkor/24606)**t.me/RVvoenkor**"
17,1164348791,6712,"УГОВОРЫ «ГЕРАНЬЮ». ДОЛГО ЛИ ПРОДЕРЖИТСЯ УКРАИНА? 

Всё зависит от трёх факторов: 
1. Полная остановка ж/д сообщений на Украине;
2. Полное отключение электричества, а значит опустошение украинского информационного пространства;
3. Три прорыва линии фронта в сторону Киева, Одессы и Харькова. 

Три фактора заиграют лишь при непрерывном нарушении коммуникационной системы Украины, до коллапса. 

Народного восстания на Украине не будет, война не может быть причиной революции (МЛФ). Мятеж армии возможен, только нам от него не легче."
18,1093357968,10684,"Новая партия гуманитарного груза РГМ прибыла в Донецк.

В столицу ДНР были доставлены дизельные генераторы, постельные принадлежности, медицинские расходные материалы и медикаменты, а также питьевая вода и тысяча продовольственных наборов. 

Работаем дальше. 

@epoddubny

***
Сбор средств для организации помощи населению Донбасса и других регионов освобожденной Малороссии. 

Перечисление средств в фонд РГМ и фонд им. Елизаветы Глинки контролирую лично. 

2202 2032 5864 7967
карта МИР

41001302265551 ЮМани

bc1qava2vg3wgx8fvrxqeull77xy359yqrexwsuu80 BTC 

0x47D9b99b239aEE283ba10d8D4D6c2269b22b5208 ETH

rfmFjVDUa7z1a2XC74yQpirdzk76AtCqiZ XRP

LPxD7gErrWSqqwYvmvuzRorLBZ9oMQ1Ngh LTC"
19,1498939244,34181,"Вот сейчас, наконец, пожалуй можно поверить, что удары по энергосистеме Украины и правда дали результат, а отключения электричества это новая украинская реальность, а не картинка для западных СМИ в инфовойне.

Но при этом стоит совершенно ясно понимать следующее:

- в моменте удары по инфраструктуре ещё не принесли критического урона, и соответственно, их надо усиливать

- отдельно стоит всё же сосредоточиться на железнодорожной инфраструктуре, потому что сейчас это кровеносная система НАТО на Украине 

- читаю у некотрых ""аналитиков"", что таким образом  Киев пытаются убедить в необходимости переговоров. Так вот переговоров никаких Киев вести не будет. Причина предельно проста. Война это единственное, что объединяет сейчас граждан Украины. Последние 8 лет их погружали в особую реальность бандеровского национал-патриотизма. 
Поэтому переговоры равно социальный взрыв внутри Украины. 
Ну и к тому же война отвлекает пока что от реальных проблем экономики. Не будет войны, будет много вопросов к власти в стиле ""а как вы это допустили"" и ""а может стоило Минские выполнить и всё, и жили бы нормально""?
В 2023 на Украине выборы. Зеленский всерьёз намерен на них победить. У него другого варианта и нет. Так что ему переговоры точно не нужны. 

- при всем том, что удары по инфраструктуре заставляют граждан Украины нести определённые лишения, это не повлияет на общий настрой, и морально их вряд ли сломает. Поскольку фактически (генетически в том числе) это русские люди (а ""украинец"" это больше политический выбор, нежели этнос), то запас моральной прочности у них весьма немалый.

- с другой стороны, стоит понимать, что подобного рода кризисы Украина никогда прежде не проходила, даже после развала СССР. В то время как Россия почти все 90-е жила именно в таком формате. Просто сейчас все забыли замерзавший каждую зиму Владивосток и другие крупные города. Наличие или отсутствие опыта это важный фактор. 

- есть мнение, что сейчас часть украинцев начнёт осознавать, как 8 лет жил Донбасс, что не стоило смеяться над шутейками про Крым без воды, или не стоило писать гнусности про убитых в Луганске и Донецке детей и женщин, ну и так далее. Что случится некая переоценка. 

Этого не будет совершенно точно. Оставьте иллюзии. Чтобы произошло переосмысление должны быть какие-то ещё эмоции, кроме ненависти и подростковой обиды. Должно быть, если хотите, христианское понимание мира.  А как мы видим, в украинском социуме доминирует только ненависть, обида и особый политический культ. 
Прежде всего в силу государственной идеологии, где ""украина понад усе"", где краеугольный камень это собственно ненависть ко всем, кто не украинец или расово не правильный украинец. 


https://t.me/voenacher/34168"
20,1469021333,13892,"📍**Голова Херсонської ОДА Янушевич повідомив, що зустрівся з жителями ""вже деокупованого"" села Українка, що означало б фактичний бліцкриг на 10 км вглиб оборони ворога, але на жаль це не відповідає дійсності

**Існує село Українка в Дніпропетровській області, а є село з аналогічною назвою на тимчасово окупованій частині Херсонщини. Коли у голови ОВА запитали про яке ж саме із цих двох сіл йде мова, він впевнено відповів, що це Українка на Херсонщині, додавши, що вона вже ""деокупована"". Проте, порівнявши знайдені в мережі фото актової зали 2013-го року та актову залу на світлинах ОВА, стає зрозумілим, що це все ж Дніпропетровська область і ніякого прориву на 10км в глиб оборони ворога не сталось. 

Щоб дехто з англомовних експертів не почав позначати всю зону навколо вільною, а інші не почали заспамлювати цим бідного Лассарда — працюємо на випередження і розставляємо крапки над і."
21,1457892982,27657,"**❗️Пишут о работе ПВО в Киевской области.** Пишут о пролете ракет над Фастовом, Дымером.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)"
22,1469021333,14857,"🦅**46-та бригада передає велику подяку всім підписникам DeepStateUA, які долучаються до волонтерських зборів!

**🔥Ви найкращі! Кожному велике дякую, хто віддає частинку себе для нашої перемоги! А нашим славним воїнам велика шана! Ви наша стіна, наша надія і сила! 

**🇺🇦Слава ЗСУ!

**🇺🇦Нагадуємо про наш [волонтерський канал ЗСУ Help](https://t.me/help_deepstateua)"
23,1511148555,10742,"💤Полыхает жопа хохла в Запорожье, вместе со складом БК 😂"
24,1144404150,15290,"⚡️🚀 Воздушная тревога объявлена на востоке Украины.

@warjournaltg"
25,1469021333,14292,"**🍉Шевченківка також визволена нашими військами

**deepstatemap.live/#12.5/47.3393/33.7466"
