Sr. no.,Channel ID,Post ID,Post
1,1283359437,39835,"Получив по зубам на фронте, укронацисты пытаются раздувать перемогу из любого инфоповода. В частности, пытаются найти скрытый смысл в удалении Z из названия канала из-за растущего числа аккаунтов-клоунов. Дабы не давать пищу всякой мрази, в том числе и отечественной, будет и Z, и V. Но с пояснением.

В последнее время наблюдается мощнейшая активизация мошеннической темы, причем теперь на этом поле работают не только ""кидалы"" с фейковыми сборами, но и ЦИПСО. Фейковые скриншоты и аккаунты лепятся на всех площадках. Также идёт охота за личными данными, в том числе близких.

Особенно сатанеют на фоне событий последних дней, когда киевский режим провалил сразу две ключевые операции — ""наступ"" на Херсон и десант на Запорожскую АЭС. 

Так что еще раз призываю подписчиков сохранять бдительность, не вступать в диалог и тем более ничего не пересылать (в том числе информацию) людям, которые пишут вам от моего имени.

@voenkorKotenok"
2,1093357968,9182,"Российские десантники разобрались с  опорным пунктом ВСУ. 

При поддержке артиллерийских подразделений, наши парни отминусовали украинский миномётный взвод, колонну танков и склад с боеприпасами.

Также, в тылу украинских военных был обнаружен миномёт, снаряды к нему, два комплекта ПЗРК Javelin и два ящика ПЗРК Stinger.

@epoddubny"
3,1536211233,1729,"⚡️President Zelenskyy visited the liberated city of Izyum. The president attended the raising of the Ukrainian flag ceremony.

⚡️Президент Зеленский посетил освобождённый город Изюм. Президент присутствовал на церемонии поднятия флага Украины."
4,1093357968,10262,"Эксклюзив
Ударом высокоточного оружия группировки ""О"" уничтожена станция радиотехнической разведки на Лиманском направлении.

О - значит Отважные.

@sashakots"
5,1498939244,29484,"В сети появилось видео, на котором призывник жалуется, что в военкомате их не обеспечили гостиничными номерами, блэк-джеком и шлюхами. Хочу сказать, что у вас ещё очень хорошие условия и нечего жаловаться. На войне в землянках все живут в любую погоду. 

В своём архиве нашёл фотографии из 2014-го. Не самые жёсткие, но, чтобы было понимание. В Славянске, к примеру, пока не переехали в блиндажи и окопы, многие спали под открытым небом. Другое фото – военкомат города Снежное, август 2014 года. Идеальные условия на полу, за крепкими стенами. Нужно понимать, что при этом тебя ещё и артиллерия кроет. Никто тогда и не думал жаловаться на условия. У нас не было ничего, ни зарплаты, ни снаряги, ни социальных гарантий – НИ ХРЕНА! 

Мужики, вы на войну едете. Здесь не будет романтики, джакузи и официанток. Здесь будет много чего другого. Это испытание для каждого. Это шанс проверить свою мужественность и совершить подвиг. Поэтому снимайте быстрее слюнявчики и надевайте разгрузки. Это ваше право и ваш шанс на славу. Ваш шанс творить историю. Используйте его достойно.  

@NeoficialniyBeZsonoV"
6,1109403194,33492,"Пока все вокруг кричат, что российской экономике наступил конец, коллега из МГУ в своем [телеграм канале](https://t.me/joinchat/tpe-EIp0Gy42MWU8) не сеет панику, а остроумно и на доступном языке обьясняет что на самом деле происходит сейчас с экономикой, что будет с курсом рубля и как лучше сейчас распоряжаться деньгами

Сейчас кризис, но его советы по управлению деньгами и финансовые лайфхаки помогут вам не только сохранить свои деньги в эти нестабильные времена, но и приумножить. 

**Советую подписаться. **Такие знания сейчас нужны как никогда — [@ifinvest](https://t.me/joinchat/tpe-EIp0Gy42MWU8)"
7,1109403194,32727,"⚡️⚡️⚡️Зеленский фактически признал, что Азов капитулировал.

«Непростой день.  Но и этот день, как и все остальные, направлен на то, чтобы уберечь нашу страну и наших людей.  Благодаря действиям украинских военных – Вооруженных Сил Украины, разведки, а также переговорной группы, Международного комитета Красного Креста и ООН надеемся, что удастся сохранить жизнь наших ребят.  Хочу подчеркнуть: украинские герои нужны Украине живыми.  Это наш принцип.  Думаю, эти слова поймет каждый адекватный человек».

@sashakots"
8,1093357968,8796,"ВСУ продолжает поставки ПТРК «Джавелин» в ВДВ России. Российские десантники под Киевом бьют противника в районе Мощуна. Противник отступает и оставляет подарки. 

Скоро большой материал. 

@epoddubny"
9,1469021333,11635,"**Лідер британських комуністів із Шотландії попався на поширенні фейків про історію України

**На світлині у себе в соцмережі даний придурок розмістив фото німецьких розвідників, назвавши одного з них Бандерою. Насправді на фото Райнгард Гелен. Штабний розвідник Вермахту. Учасник замаху на Гітлера, якого не знайшли.

З травня 45го його взяли під своє крило американці. За часів Аденауера він створив ""організацію Гелена"", яка спеціалізувалася на розвідці та антикомуністичній роботі. З його допомогою ЦРУ мало очі в СРСР і могла проводити контрдиверсійну роботу в Західному Берліні."
10,1469021333,9636,"Від підписника: 
Вітаю, панове. Прошу допомогти у пошуку надійних та перевірених волонтерських організацій, через які можливо передати спорядження. Надішліть @datboi131 інформацію, якщо хто-небудь має таку можливість. Слава Україні !"
11,1109403194,36060,"Интересно наблюдать за происходящем в украинском обществе. Родственники обычных военных просто в недоумении и все чаще задаются вопросом, почему не возвращают домой остальных. 

**Украина безальтернативно обменивает либо азовцев, либо тех военнослужащих, кто засветился медийно.** Редис, Калына, Валына, Фрост, Химик и т.д. К сожалению, список можно продолжать и дальше. 

Не то, чтобы меня сильно заботит судьба украинских пленных, но обмен простых военнослужащих Киев просто не интересует. Хотя, казалось бы, многие из этих людей принесли вреда ВС РФ не меньше, чем тот же самый Азов, и с этой точки зрения должны быть еще большими хероями. 

Взять, к примеру, 24 бригаду ВСУ, которая оборонялась на самых горячих направлениях: Рубежное, Северодонецк, Лисичанск. Прямо сейчас их бросают в контрнаступ в ту самую “кишку” на Херсонщине. По словам самих военнослужащих 24 бригады, потери колоссальные, ситуация критичная настолько, что их командир герой Украины Мамавко просто сбежал, оставив целое соединение, и сейчас находится в розыске.

Оказывается, что фотографии счастливых азовцев, пьющих чай в Турции и выступающих на телевидении, не нравятся не только людям в России. Что неудивительно, родственники обычных вояк пытаются узнать, когда настанет очередь их родных, попавших в плен еще в марте и апреле этого года. Но на эти вопросы украинские официальные лица отвечают: “их очередь еще не пришла”, “это же война” и т.п. 

Учитывая, что в российский плен попало около двух тысяч азовцев, вероятно, придет она не очень скоро.

@sashakots"
12,1469021333,12342,"**🐔Ой, як там хтось казав у коментарях, ""харашіє рузкіє протів нас не ваюют"". Ось тримайте ""хорошого"" кацапа**"
13,1511148555,9466,"**‼️💥Мощно пылает объект врага в Днепре
**Власти сообщили, что ракетными ударами поражены 2 объекта

💤Только что"
14,1366346975,50242,"**Ночью ВСУ атаковали Мелитополь — российская система ПВО сбила ракеты

**Сегодня ночью российская система ПВО отразила ракетный удар ВСУ по Мелитополю, сообщил член главного совета ВГА Владимир Рогов. По предварительным данным, в ночь на 8 августа ВСУ выпустили по городу две ракеты — обе удалось перехватить в воздухе.

__«Слава Богу и ПВО России!»,__ — заявил Владимир Рогов."
15,1080134301,15018,"**Неожиданная вспышка ненависти к русским в Сургуте.

**Местный житель поймал детей,  которые баловались и портили имущество в подъездах. Мужчина снял видео и попросил родителей поговорить с отпрысками. 
Мужчина детей не трогал и не угрожал детям, был с ними вежлив и спокоен. 
Однако, после публикации видео к нему полетели угрозы физической расправы от родительницы явно ненавидящей русских."
16,1109403194,37140,"📌Позитива вам в ленту

Бойцы ЧВК «Вагнер» уничтожили **три** боевые машины противника, предположительно, западного производства. 

Бахмутское направление.

#эксклюзив

@brussinf"
