Sr. no.,Channel ID,Post ID,Post,HRV (Yes/No),"Type (A,B,C,D)"
1,1366346975,52612,"**Работа артиллерии ""Oтважных"" в Северском направлении

**Артиллеристы группировки ""О"" ведут массированный огонь по позициям ВСУ, уничтожая огневые точки и помогая пехоте прорывать оборону врага.

Источник: @RVvoenkor",No,
2,1144404150,14824,"Местные источники публикуют момент прилета в Одессе.

Кроме этого, стало известно, что целью был ТРЦ ""Ривьера"". Так бывает, когда гражданская инфраструктура перепрофилируется под нужды украинских военных. Киевский ТЦ ""Ретровилль"" [не даст соврать](https://t.me/warjournaltg/12656).

@warjournaltg",No,
3,1457892982,26543,"**⚡️Утром по Хмельницкой области был нанесен ракетный удар.** По имеющейся информации, взрывы были где-то в районе Шепетовки.

Также, по информации Командования Воздушных Сил ВСУ, **ночью дроны-камикадзе, вновь атаковали Украину.** На юге сбили **девять(!) беспилотников ""Shahed-136"".

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
4,1283359437,43894,"Поражение украинского ""Града"" при помощи управляемого снаряда ""Краснополь"". Установка была обнаружена благодаря работе БПЛА ""Орлан"".

@voenkorKotenok",No,
5,1498939244,31602,💥 В Харькове воздушная тревога и взрывы,No,
6,1457892982,27295,"**СоСальдо обратился к руководству России с просьбой организовать эвакуацию жителей** Херсонской области — помочь выехать всем желающим на территорию РФ.

Что случилось? Очередная перегруппировка?

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
7,1469021333,14280,"**🔄**** Оновлено мапу: зміни незначні. По Херсонському напрямку пропонуємо чекати новин і не робити поки поспішних висновків. Зведення буде ближче до ночі, оновлення за потреби

**deepstatemap.live/",No,
8,1080134301,18475,"""Миротворец"" добрался и до Илона Маска!

Сайт позиционирует себя как «интернет-представительство Центра исследований преступлений против основ национальной безопасности Украины, мира, безопасности граждан».

Причиной всему стал отказ компании SpaceX оплачивать услуги спутниковой связи Starlink для Украины.",No,
9,1469021333,12563,"**🔥Мінус один. Мало, але приємно**.

🖌__(Робота 59 ОМБр імені Якова Гандзюка)__",No,
10,1109403194,34695,"Представитель ГУР Минобороны Украины Вадим Скибицкий фактически признал, что американцы утверждают удары ""Хаймарсами"" по каждой отдельной цели. 

По его словам, ""официальные лица США не предоставляют прямой информации о нацеливании, чтобы не подорвать доводы в пользу того, что они не являются непосредственными участниками войны"".

При этом Скибицкий заявил, что перед запуском ракет между представителями разведки обеих стран проводились консультации, **которые позволили бы Вашингтону остановить любые потенциальные атаки, если они ""недовольны намеченной целью"".**

То есть, удар по колонии в Еленовке был согласован с Вашингтоном. ЧТД.

@sashakots",No,
11,1283359437,42949,"⚡️Серия взрывов в Днепропетровской и Николаевской областях. Украинские паблики сообщают о работе ПВО в районе Одессы.

@voenkorKotenok",No,
12,1144404150,16069,"Запуск ОТРК «Искандер» по цели в Харьковской области. 

Посылка уже доставлена получателям.

@warjournaltg",No,
13,1457892982,24826,"⚡️**Путин созывает экстренное совещание с членами совбеза РФ**. 

По предварительным данным, причиной такой оперативности стала угроза окружения рашистов в Харьковской области.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
14,1457892982,23649,"❗️**Звуковые сигналы тревоги, которые должен знать каждый**. Официальная информация от Минцифры.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
15,1109403194,35338,"**❗️Интенсивность боев растет на Харьковском направлении 

**По данным** ""Иди и смотри"",** в Немышлянском, Салтовском и Киевском районах Харькова были слышны раскаты вылетов, шли артдуэли. 

__💬""Сейчас они затихли, но ситуация продолжает накаляться""__, - рассказал источник канала. 

По его словам, ночью по городу передвигалась техника. Около 2 часов ночи была поражена 98-я школа и объекты в Харьковской области.

**__@smotri_z__**",No,
16,1144404150,14953,"#зарубежныйФРЕШ 


**🇬🇧Как минимум трое британских наемников **(двое бывших капралов и один бывший медик)** находятся на территории металлургического комбината «Азовсталь» в Мариуполе** [сообщается британскими СМИ ](https://www.express.co.uk/news/world/1610554/ukraine-russia-war-mariupol-british-fighters-trapped-latest)со ссылкой на другого бывшего военнослужащего из Британии.

__«Все трое парней на металлургическом заводе служили в британской армии. Я знаю, что двое служили в Афганистане, но, как и я, они были удивлены интенсивностью конфликта», - рассказал военнослужащий.

__Об их присутствии в Мариуполе вчера вечером сообщил еще один бывший британский военнослужащий, который присоединился к так называемой Международной бригаде в Донецке, а затем был ранен и эвакуирован во Львов для лечения.

По словам наемника, они направились на Украину до начала спецоперации РФ, чтобы «присоединиться к украинцам на востоке», но вместо этого их отправили на юг для поддержки неонацистского полка «Азов».

__«Я был с парой канадцев и ничего не слышал о них (британцах) до марта, когда я получил сообщение, в котором говорилось, что они оказались на металлургическом заводе в Мариуполе», - добавил наемник.

__По данным британцев, заблокированных на «Азовстали», с ними находится еще один их соотечественник, он тяжело ранен. Он воевал на востоке Украины с 2014 года. По информации газеты, **боевиков на заводе предупредили «оставить патрон для себя, потому что никому не хочется попасть в плен».**",Yes,D
17,1164348791,5704,"Владимир Путин: обстрелы Донецка прекратятся, когда зайдем в тыл украинских укрепрайонов на линии фронта столицы ДНР.",Yes,B
18,1283359437,38393,Еще один ракурс утреннего удара по временным казармам Нацгвардии в Николаеве.,No,
