Sr. no.,Channel ID,Post ID,Post,HRV (Yes/No),"Type (A,B,C,D)"
1,1498939244,33479,💥 Взрыв в Одессе,No,
2,1129015804,13936,"В Афганистане при нападении в г. Герат ликвидированы шесть боевиков движения ""Талибан"", еще несколько получили ранения. Как сообщается, злоумышленник открыл огонь по микроавтобусу талибов, а затем закидал его гранатами. Преступнику удалось скрыться. Ответственность за нападение взяло Исламское государство.

Еще одно нападение произошло ранним утром в другом квартале г. Герат. Двое вооруженных боевиков обстреляли блокпост пуштунских националистов. По предварительным данным, жертвами нападения стали четырнадцать талибов. Кто стоит за терактом пока неизвестно.",Yes,A
3,1511148555,14334,"Сначала было 9. 

Потом 15.

Сейчас уже 30.

Обычно количество ""сбитых"" Украиной дронов и ""Калибров"" прямо пропорционально нанесенному ущербу. 

Чем выше ущерб, тем больше сбитых целей нарисуют.",No,
4,1144404150,16498,"**__🇧🇷Долгожданная рубрика Бразильские страсти в ВСУ!🇺🇦

__**Заключительная серия про спецназовца Бусяка и его друзей, наглядно показывающая, что обычно бывает после бессмысленной смерти за наркомана Зелю и НАТО. Приятного просмотра!

[1 серия: ""Мы с первого класса вместе""
](https://t.me/ragulinho/1120)[2 серия: ""Потеряли пацана""
](https://t.me/ragulinho/1126)[3 серия: ""Смерть не повод не делать контент""
](https://t.me/ragulinho/1157)[4 серия: ""Провал операции""
](https://t.me/ragulinho/1167)[5 серия: ""6 по 200""

](https://t.me/ragulinho/1172)@ragulinho",No,
5,1457892982,26246,"WTF? 

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
6,1080134301,19287,"**Охранник заведения в Чебоксарах жестоко избил гостя. 

**Причина в неподобающем поведении клиента, который изрядно выпил и требовал продолжения работы ресторана после закрытия.",No,
7,1366346975,56324,"Когда наши войска во время ВОВ оставляли наши города они прекрасно понимали что будет с [мирными жителями](https://t.me/pbesedin/992). И мне кажется тогда это было гораздо страшнее. Когда я писал об оставлении Купянска и ухода наших войск за реку Оскол, я описывал ситуацию исходя исключительно из военных соображений. Я сторонник хладнокровного подхода к войне. Порой и у меня бьют эмоции. Но война это не только эмоции. Война это совокупность процессов. Побеждает тот, кто умеет принимать хладнокровные решения. Я не оправдываю никого. Особенно тех мудаков, которые допустили сегодняшнюю ситуацию на Харьковском фронте - раздутые штаты, откупы за неучастие в боевых действиях, лживые донесения о реальном положении дел на фронте, трусость, коррупция, разгильдяйство и некомпетентность и это только часть тех совокупных факторов, которые сегодня повлияли на то, что происходит на Харьковском фронте. Все ждут кардинальных решений. Хладнокровных, волевых решений. Оставление того или иного города в интересах сражения не является само по себе чем - то преступным, примеров в истории масса. Но каждое решение должно  приниматься хладнокровно, с расчётом, но оно должно быть оправдано. Отдаём вот это, взамен вот этого. Пока это всё только философия на полях одного тг канала. К сожалению.
https://t.me/pbesedin/992",No,
8,1511148555,9551,"🔥С ТЕХ МЕСТ ПИШУТ

Только что разговаривал с камрадами в Красном Лимане. Связь устойчивая. Противник ослабил в ночь огневое воздействие на Торское. Части 58А и приданные танковые подразделения вступившие в бой с марша, разворачиваются в боевые порядки на ранее утро. Работу авиации подтверждает, слышно в уши очень хорошо даже на расстоянии. ВСУ растянулись по фронту и сейчас стягиваются к линии соприкосновения. Их тыл и резервы не успевают, по ним работает наша авиация. Очень много сожгли их техники наши винты. Еще раз подтверждают, что самое время бить по харьковскому направлению. Это растянет ВСУ в вилку и ослабит их.",No,
9,1469021333,14894,"🕶🕶🕶** на фронтах станом на 10 грудня

****⏩****На кордоні з біломосковією **[-](https://deepstatemap.live/) без змін. 

**⏩****На** **Сватівському** напрямку - тривають позиційні бої, особливо інтенсивні в районі Новоселівського та Торського.

**⏩****Бахмутський **відтинок - ворог стягує сили до Бахмута і намагається штурмувати прилеглі села. В самому Бахмуті ворог має незначний успіх у вигляді ще одного заводу. Схоже, що в Яковлівці вже перебуває ворог, тому вона переходить в червоний колір.

**⏩****Авдіївський** відтинок - ворог просунувся трохи в Первомайському.
 
**⏩****Запорізький **відтинок - без змін. 

**⏩****Таврійський** відтинок - без змін. 

⏺⏺Оновлення мапи протягом години. 

✈️ Зараз дуже активізувався фронт і по всій ЛБЗ стає тяжко. Можливо, ми станемо свідками Сталінграду ХХІ століття, так як Бахмут зібрав на собі значні сили ворога, але навіть з ними ЗСУ, хоч і з перемінним успіхом, справляються. Не треба думати, що війна це легко і фронт в ній стабільний. 

🖼На світлині ворожа артилерія обстрілює наші позиції в районі Володимирівки.

[🖍](https://deepstatemap.live/#6/49.438/32.053)У випадку **неточностей на карті**, ви можете нам повідомити через бот @newsdeepstatebot. 

🛑Нагадуємо, що в загальному доступі не може існувати точної карти бойових дій, а інформацію, як переможну так і не дуже, завжди краще сприймати зі скепсисом і чекати візуальних підтверджень чи повідомлення ГШ ЗСУ.",No,
10,1498939244,32619,"Очередной [400-миллионный пакет](https://www.defense.gov/News/Releases/Release/Article/3210297/400-million-in-additional-security-assistance-for-ukraine/) военной помощи анонсирован сегодня Пентагоном. В отличие от ранее рассматривавшихся нами, эта поставка не в рамках PDA (Presidential Drawdown authority), которые проводятся из наличного имущества, а в рамках USAI (Ukraine Security Assistance Initiative), то есть, обещанное Украине снаряжение сначала должно быть произведено/куплено где-то еще.

В рамках пакета предполагается: финансирование модернизации ЗРК Hawk, с тем чтобы впоследствии передать их Украине в рамках PDA. Передача 45 танков Т-72Б с усовершенствованными СУО, средствами связи и бронезащитой (танки купят Нидерланды у Чехии), 1100 дронов-камикадзе Phoenix Ghost, 40 речных бронекатеров, ремонт 250 БТР М1117 (видимо также для последующей передачи), передача систем связи и наблюдения, финансирование боевой подготовки, обслуживания и обеспечения.

В отличие от передач в рамках PDA, которые проводятся в течение короткого периода (дни-недели), здесь мы имеем скорее часть перспективных планов, реализация которых предусматривается в дальнейшем в том числе через пакеты PDA.

Подробности для желающих [тут](https://www.state.gov/u-s-security-cooperation-with-ukraine/) (Госдеп) и [тут](https://crsreports.congress.gov/product/pdf/IF/IF12040) (исследовательская служба Конгресса).

Прежде написанное см по тегу #Оружие404",No,
