Sr. no.,Channel ID,Post ID,Post,HRV (Yes/No),"Type (A,B,C,D)"
1,1457892982,27112,"**❗️В Кривом Роге ПВО тоже сбили ракету

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
2,1144404150,19828,"🇦🇺**В ходе СВО ликвидирован австралийский наемник Сейдж О'Доннелл. О ликвидации сообщают друзья наемника, которые оставляют на его странице в социальных соболезнования.**",No,
3,1093357968,9118,"Минобороны РФ: К финансированию биолабораторий на Украине причастен инвестиционный фонд под руководством сына президента США - Хантера Байдена.

@epoddubny",No,
4,1457892982,25602,"❗️""Референдум"" о признании т.н ""ЛНР"" субъектом РФ состоится **осенью, в ближайшее время **— депутат Госдумы РФ Водолацкий.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
5,1536211233,998,"**Russian troops invaded Slavutych (satellite city of the Chernobyl NPP) and kidnapped the city mayor**

Russian troops kidnapped mayor Yuri Fomichev and took over the local hospital. Residents of the city went out to protest, after which Russians opened fire on them.

**Российские войска вторглись в Славутич (город-спутник Чернобыльской АЭС) и похитили мэра города**

Российские войска похитили мэра Юрия Фомичева и захватили местную больницу. Жители города вышли на акцию протеста, после чего россияне открыли по ним огонь.",No,
6,1457892982,23405,"**❗️Во многих областях Украины объявлена воздушная тревога. Сообщают о пусках ракет

**Оккупанты могут мстить. Берегите себя.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
7,1366346975,53447,"Привет с полей Херсона🤝 Император защитит🚀🚀🚀
ЗРПК Панцирь. Фото от подписчика.💪
@Ugolok_Sitha",No,
8,1366346975,54872,"🇷🇺🇺🇦** Битва за Херсон: обстановка на Посад-Покровском и Александровском участках 
**__по состоянию на 13.30 2 сентября 2022 года

__▪️ Развив вчерашний успех, подразделениям ВС РФ удалось восстановить контроль над **Терновыми Подами** и **Зеленым Гаем**. Населенные пункты находятся под уверенным контролем российских войск.

▪️ Под **Александровкой** наступления ВСУ нет. Противник ведет беспорядочный обстрел тыловых позиций без какого-либо продвижения на этом участке.

▪️ В направлениях **Мирного** и **Любомировки** (**Красного Знамени**) активных действий нет. Украинские силы заняли позиционную оборону. 

▪️ В настоящее время в окрестностях **Посад-Покровского** скапливается бронетехника ВСУ в преддверии очередного контрнаступления. По перебрасываемым резервам российские войска отрабатывают огнем артиллерии и авиации. 

[**Карта в большом разрешении

**](https://i.ibb.co/X85pV1Z/02-09-ru.jpg)@rybar",Yes,B
9,1080134301,16520,"В западных соцсетях набирает популярность видео, на котором испанские **полицейские** сталкивают **мигрантов** обратно в море.",No,
10,1498939244,33688,"На ж/д пути в Одесской области на участке Березовка-Рауховка остановился грузовой поезд из-за подрыва железнодорожных путей, — хохолСМИ

Ой, а шо случилось ? 

Партизаны, вы просто космос ❤️",No,
