Sr. no.,Channel ID,Post ID,Post,HRV (Yes/No),"Type (A,B,C,D)"
1,1457892982,28600,"**Боец ВСУ Валерий Маркус порекомендовал на месяц ""уехать куда-нибудь отдохнуть"" тем, кто проживает в северо-западной части Ровенской области и северо-восточной Волынской области🧐

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
2,1144404150,12834,"Российские военнослужащие продолжают доставлять гуманитарную помощь населению Сумской области.

Более 10 тонн гуманитарки вчера переданы в населенные пункты Рясное, Хмелевка, Мезеновка. Доставлены продукты первой необходимости: подсолнечное масло, макароны, рис, пшено, овсяная крупа, бутилированная вода.

Населенные пункты Рясное, Хмелевка, Мезеновка находятся на границе с Белгородской областью. В селах работает электричество и водоснабжение.",No,
3,1109403194,36893,"Минобороны: «29 октября в результате переговорного процесса с подконтрольной киевскому режиму территории возвращены 50 российских военнослужащих

Самолетами военно-транспортной авиации ВКС России освобожденные военнослужащие будут доставлены в Москву для прохождения лечения и реабилитации в медицинских учреждениях Минобороны России

Всем освобожденным оказывается необходимая медицинская и психологическая помощь»

@sashakots",No,
4,1469021333,9763,"Школа в Херсоні, де було бомбосховище",Yes,B
5,1080134301,18776,"**Так сейчас выглядит правый берег Киева. В городе отключили даже светофоры.

**А в Тернополе и Полтаве патрули полиции уже ищут нарушителей экономии электроэнергии. Там всех бизнесменов попросили ограничить использование света",No,
6,1129015804,12303,"В Иране неизвестные расстреляли машину бригадного генерала, возглавляющего части ""Корпуса стражей исламской революции"" в приграничной с Афганистаном и Пакистаном провинции Систан и Белуджистан. При теракте погиб водитель, сам военный не пострадал. По заявлению властей Ирана, нападавшие задержаны, однако информации об их причастности к какой-либо действующей в регионе группировки нет.

Провинция Систан и Белдужистан [является](https://t.me/directorate4/8127) для Ирана [проблемной](https://t.me/directorate4/11423) с точки зрения безопасности.",Yes,C
7,1164348791,5826,"СПЕЦИАЛЬНАЯ ВОЕННАЯ ОПЕРАЦИЯ. НЕПРЕКРАЩАЮЩИЕСЯ МАНЁВРЫ. 

       Мы привыкли к очень быстрой смене участков фронта для наших частей и соединений. У нас нет такого (за редким исключением), чтоб часть долго воевала на одном направлении. 

        Для нас совершенно нормально, если полк или бригада ДНР, вдруг усиливают группировку МО РФ, например, на Лисичанском направлении в ЛНР, потом вдруг участвует в каких-то, резко начавшихся манёврах в Запорожье, и по их завершению снова воюют под Донецком. 

Не знаю, что насколько весом смысл этих перемещений, но умение штабов маневрировать на театре военных действий, и самих частей быстро перемещаться, это мне нравится.",No,
8,1457892982,24463,"**⚡️Высокополье, Херсонщина. Наши военные освободили посёлок и вот как их встречает народ💪🏻

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
9,1144404150,14519,"24.04.2022 Олег Царев дал эксклюзивное интервью телеграм каналу [""Вежливые и Заботливые""](https://t.me/v_and_z).",No,
10,1511148555,13809,"**‼️🇺🇦🏴‍☠️Мать убитого ВСУшника на коленях умоляет захватчика из ПЦУ дать отпеть сына и не отбирать храм

**__""Если вы верите в Бога, на коленях вас прошу, оставьте церковь, дайте сына отпеть!""

__Мать погибшего под Артёмовском украинского боевика на коленях умоляет захватчика из раскольнической секты ПЦУ не отбирать у УПЦ храм до субботы, чтобы она могла отпеть сына по православному обряду.

💤Бог оставил эту страну, им уже ничего не поможет",Yes,A
11,1080134301,18454,"**Минимум два прилета по Харькову🇺🇦,** – мэр города Терехов.

В некоторых районах города проблемы с электроснабжением",No,
