Sr. no.,Channel ID,Post ID,Post,HRV (Yes/No),"Type (A,B,C,D)"
1,1457892982,28426,"**И такое бывает🤫

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
2,1469021333,14233,"**➕Дещо із затримкою, але в той же час доволі авангардна точка для наших, Зелена Долина під контролем нашої армії. Хрестоносці вчора зранку зайшли в село

**Вчора вже всі підряд геолоковували це село.

deepstatemap.live/#13/49.1147/37.7753",No,
3,1498939244,31480,💥Звук пикирования и последующего взрыва дрона камикадзе Герань-2 в Николаеве. Также слышна безуспешная стрельба.,No,
4,1366346975,55899,"⚡️Десантура смогла отстоять Шевченково⚡️

Об этом сообщают источники проекта @wargonzo в Харьковской области. 

Российские десантники, переброшенные на помощь союзным силам, подвергавшимся контрудару ВСУ на рубежах Балаклея-Изюм-Купянск, смогли отбить многочисленные атаки противника на Шевченково - один из тех населённых пунктов, которые играют ключевую роль в логистике и снабжении наших главных гарнизонов в Харьковской области. 

В Балаклее также продолжают находится как отдельные подразделения Росгвардии, так и Минобороны. По ситуации в Купянске и его окрестностях - подробности в ближайшее время!",No,
5,1093357968,8686,"**Военный корреспондент ВГТРК Евгений Поддубный сообщил, что Киев фактически блокирован. **По сути, свободен остался только Юг, заявил журналист в программе ""60 минут"" на телеканале ""Россия 1"". Также Поддубный рассказал, что спецоперация по защите ДНР и ЛНР стала первой, в которой наша страна использует столько высокоточного вооружения.

[Смотрим все выпуски программы

](http://smotrim.ru/60minut)@epoddubny @skabeeva @vladivostok1978 
@smotrim_ru",No,
6,1366346975,53347,"Шикарное! 🔥🇷🇺👍 

https://t.me/MilHeliPilot/220",No,
7,1080134301,20248,Подъехала сборка лайфхаков для украинцев,No,
8,1144404150,11732,⚡️ мощнейший обстрел Киевского района Донецк.,Yes,B
9,1080134301,18507,Утро начинается со взрывов под Киевом,No,
10,1109403194,36819,"Дорогие друзья, дорогие подписчики, братья и сёстры! Очередная крупная партия необходимого доставлена в наши войска. На этот раз вы купили 10 тепловизоров с дальномером, то есть те самые необходимые приспособления, без которых невозможно вести современную войну. Приборы разведки и наблюдения - основа, становой хребет армии и я очень рад, что мы с вами купили их уже несколько десятков, на многие миллионы рублей. 

От всей души благодарю уважаемых подписчиков Андрея Медведева, Дмитрия Конаныхина, Влада Лобаева, Макса Каскада, Повернутых на войне, Старше Эдды и всех тех, кого я забыл назвать. Враг будет разбит, унижен и уничтожен, а победа будет за нами! Наша карта для сборов всегда одна, это карта ведущего Радио России Дмитрия Конаныхина 2202203207229198",No,
11,1080134301,19203,"Последствия прилёта ""шести российских ракет😂"" по Украине

Главными целями ударов стали четыре мощнейшие ГЭС страны: Днепровская, Кременчугская, Каневская и Днестровская.

Взрыв на одном из энергообъектов привёл к отключению света в 350 тысячах квартир в Киеве. 80% горожан остались без воды, заявил Кличко. Люди прячутся в метро.

Всего, по предварительным данным, повреждено около 40 объектов энергетики.",Yes,B
12,1366346975,50638,"Друзья, всем привет от морпехов Тихого, прямо с передка ✊🏻⚓🌊",No,
13,1457892982,25848,"До слез.😄

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
14,1498939244,33324,Взрывы в Тернопольской области.,No,
15,1080134301,17483,"**«Ты чего такой суровый? 🤨»** 

__Путин (в хорошем настроении) проводит рабочую встречу в Великом Новгороде__",No,
16,1366346975,49170,"**Россия предоставила ООН доказательства использования ВСУ запрещенных мин против мирного населения

**Речь идет об использовании украинскими нацистами мин «Лепесток». РФ передала генсеку ООН подробную информацию с фотографиями о фактах минирования гражданских объектов в ЛНР и ДНР. 

Зампред РФ при ООН Дмитрий Полянский заявил, что письмо рассмотрят в качестве официального документа. Дипломат подчеркнул многие коллеги в ООН были заинтересованы в доказательстве данных фактов.

Ранее наши военкоры [показывали](https://t.me/readovkanews/39559), что центр Донецка действительно усыпан «лепестками». Накануне штаб территориальной обороны ДНР сообщил, что из-за этих мин четыре человека пострадали. «Лепестки» не убивают, а наносят людям серьезные травмы. Как правило, пострадавшим ампутируют конечности.",Yes,A
17,1109403194,33763,"Путин дал понять, что с освобожденных территорий мы не уйдем: «Но в конечном итоге свое будущее будут решать сами люди».

@sashakots",No,
18,1511148555,12413,"🇷🇺🇨🇳**Россия и Китай открыли движение по железнодорожному мосту через Амур**.

Россия и Китай запустили движение по первому в истории железнодорожному мосту через реку Амур. Об этом стало известно из пресс-релиза Российского фонда прямых инвестиций (РФПИ).

Отмечается, что 16 ноября заработал участок межгосударственной границы в районе населенного пункта Нижнеленинское Еврейской Автономной области и Тунцзян провинции Хэйлунцзян в КНР.
Первым по новому мосту проехался грузовой железнодорожный состав. Он отправился из России в Китай.

Максимальная пропускная способность составит до 20 миллионов тонн грузов в год.

__""Активизация экономических связей приграничных территорий наших стран позитивно отразится на жизни более чем 40 миллионов человек__""__,__ — заявил генеральный директор РФПИ Кирилл Дмитриев.

**💤Хоть я не очень хорошо отношусь к Китайцам, потому что они хиьрожопые торгаши, и за бесплатно нихуя делать не будут, но в рамках торговли и импортозамещения это очень хороший задел на будущее.**",No,
19,1283359437,43209,"1. Наши войска заняли нейтралку, ту самую проклятую серую зону в районе ДКАД — Донецкой окружной автодороги на подступах к Авдеевке.

Там лежало много тел как с нашей, так и с укровской стороны — за восемь лет набили людей множество. Выбить противника с укрепленных позиций удалось ценой колоссальных усилий. 

Именно на этом направлении состоялся встречный танковый бой, когда ВСУ предприняли попытку контратаки. Наши танки оказались сильнее плюс качественно сработала артиллерия. 

Апофеоз упоротых укронацистов — танки противника выезжали для огня прямой наводкой прямо по телам убитых военнослужащих ВСУ, раскатывая их на атомы.

Наши войска заняли территорию в районе развязки под мостом, за которую бились три месяца. Остатки подразделений противника отошли из «муравейника» — крупного опорного пункта на окраине Авдеевки. 

2. Сегодняшние прилеты по Донецку — подлый ответ Украины за скорую потерю Авдеевки и отползание от города. 

Также черепашьими темпами идет наше продвижение в Марьинке, где битва за каждый дом в прямом смысле слова. 

В Первомайском противник упирается, и после продвижения наши подровняли линию, закрепившись в части поселка. 

@voenkorKotenok",Yes,A
20,1511148555,12986,"На прошлой неделе силы Азова пришли на усиление Артемовского фронта. Один из видных азовских нацистов по имени Вадим Лысенков пять дней назад гордо разместил объявление перед въездом в Артемовск (Бахмут). Сегодня его уничтожили нахуй Вагнеры. 

**💤Селфи в инсту Вадимки теперь будет выкладывать Бандера 😂😂😂 и по традиции:
ЗЕМЛЯ БЕТОМ УБЛЮДКУ И СТЕКЛОВАТОЙ!!!!! НИКТО НЕ СКОРБИТ И НЕ ПОМНИТ ВСЕМ ВООБЩЕ ПОХУЙ НА ВАДИМКУ!

**[Конфликт🔥Z Подписаться](https://t.me/konfliktworld)",No,
21,1536211233,814,"**🔴DAILY REPORT🔴

Avaliable in: **🇬🇧🇩🇪🇺🇦🇨🇿🇨🇵🇪🇸🇱🇹🇷🇸🇹🇷🏳",No,
22,1498939244,31418,"Всем, кто помогает нам в наших сборах, большой привет от БЛАшников на орланах, довезли им генератор, кабеля.

Остальное ждём, СДЭК пока не ездит в Крым.",No,
23,1144404150,18162,"⚡️ Эксклюзивные кадры задержания украинской ДРГ российскими бойцами СпН в мае этого года под Красным Лиманом.

@opersvodki",Yes,D
24,1498939244,32942,Кадры с места гибели Кирилла Стремоусова,No,
25,1093357968,12045,"После некоторого затишья, украинская артиллерия вновь активизировалась на Изюмском фронте. Видимо подвезли новые орудия. Вторые сутки кладут жестко, не жалеют снарядов.",No,
26,1093357968,8079,"Подразделение украинских ВС форсировали Северский Донец. При поддержке артиллерии атаковали высоты у с. Николаевка. Выбили бойцов НМ ЛНР, попытались закрепиться. Получили сильную ответку. К передовой подтянулись танки, подключилась артиллерия Луганска. В итоге подразделение  ВСУ было отброшено, хотя изначально они действовали успешно. Парни на передовой говорят, что у Киева 9 - «200». Вместе с @sashakots только что вернулись оттуда. Ждите подробностей скоро 

@epoddubny",No,
27,1080134301,18861,"В подмосковном Орехово-Зуево мамашка со своей сестрой издевались над маленькой девочкой. Всё это попало на камеру.

По словам соседей, все трое, включая отца ребенка, пьют. Издевательства над девочкой происходят уже не первый раз",No,
28,1129015804,14308,"Группировка ""Техрик-е Талибан Пакистан"" (ТТП) официально объявила о прекращении действия [перемирия](https://t.me/directorate4/12462) с властями Пакистана. Также руководство ТТП призвало сторонников готовиться к совершению терактов на всей территории страны. Формальным поводом для этого стало усиление правительственных войск в провинции Хайбер-Пахтунхва и активизация действий против группировки. Впрочем, стороны [нарушили](https://t.me/directorate4/14055) весеннее перемирие задолго до этого.",No,
