Sr. no.,Channel ID,Post ID,Post,HRV (Yes/No),"Type (A,B,C,D)"
1,1469021333,11716,**Процес пішов. В Стрию демонтували пам'ятник радянському солдату**,No,
2,1457892982,24084,"**Эксклюзивные кадры. Британские солдаты в составе ВСУ работают на Херсонщине

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
3,1283359437,43184,"Командующий армией Литвы генерал-лейтенант Вальдемарас Рупшис сообщает, что дислоцированные в стране американские ротационные подразделения меняют уровень военного присутствия со **сдерживающего** на **боевой**.

Ранее Госдеп одобрил возможную продажу Литве американских РСЗО HIMARS и сопутствующего оборудования на сумму $495 млн.

@voenkorKotenok",No,
4,1366346975,56395,"В ""Альтернативной армии"", как оказалось больше БПЛА, бронников, касок, тепляков, раций, а главное - здравого смысла, чем в обычной армии. 

https://t.me/aleksandr_skif/2373",No,
5,1469021333,10971,"✈️Повітряні Сили ЗСУ за попередню добу збили 7 повітряних цілей окупантів (1 літак, 4 БПЛА та 2 крилаті ракети). 

Крім того, бомбардувальна та штурмова авіація ЗСУ завдавала нищівних ударів по скупченнях техніки і живої сили противника.",Yes,B
6,1093357968,10493,"Народная милиция ЛНР при поддержке ВС РФ, завершив зачистку Попасной, вышла на административную границу ЛНР. 

@epoddubny",No,
7,1109403194,37221,"От подписчика о проблемах с наличием своих средств поражения и взаимодействия с приданной артой:

«К слову о борьбе с артой противника.
Видос, снятый мной с воздуха. Спалили позицию танчика, с которой он работал по нам. Работал несколько дней, в одно и то же время. 

Пытались наводить на него арту, но это нереально, т.к. пока докричишься до старшего начальника, пока он найдет арту, пока она выкатится, наведется - укропы уже дома чай пить будут. 

На видео петухи поняли, что мы спалили их огневую позицию, поставили дымы и танчик встал на тапки. Видно, как он уходит вдоль посадки с левого нижнего в правый верхний угол экрана в конце видео. 

Так вот, будь у нас СВОИ средства поражения в виде барражирующих боеприпасов или ударных БПЛА, мы бы его разнесли сразу, как заметили. А так, он три дня безнаказанно по нам работал, а мы все это время пытались выбить работу артиллерии».

@sashakots",Yes,C
8,1109403194,35229,"Миссия МАГАТЭ на Запорожскую АЭС продлится с 31 августа по 3 сентября – The Wall Street Journal

[Подписаться на @truekpru](https://t.me/+p3pOHrMFlcI0NWRi)",No,
9,1144404150,11489,"⚡️**Народная милиция ДНР**: Артиллерийские подразделения вооруженных формирований Украины, прикрывая отступающие подразделения 95-й одшбр целенаправленно бьют по жилым районам Донецкой Народной Республики.

❗️В результате обстрела из 152-мм ствольной артиллерии г. ГОРЛОВКА есть потери среди гражданского населения. ПЯТЕРО раненых, ОДИН погибший. повреждены ПЯТЬ жилых домов. Обесточен водопроводный узел. В части города снижено давление воды.

@warjournaltg",Yes,A
10,1498939244,33277,"Таки репарации дошли. 
А вы думали хохлы не добьются ? 
Шах и мат😎",No,
11,1093357968,8511,"**❗️Националисты заминировали реактор на экспериментальной ядерной установке, находящейся в Харьковском физико-техническом институте. СБУ и боевики батальона «Азов» планируют подорвать реактор и обвинить Вооруженные силы России в якобы нанесении ракетного удара по экспериментальной ядерной установке**

Минобороны РФ",No,
12,1511148555,8775,"‼️‼️‼️ТОЛЬКО ЧТО 
⚡️**По Кривому Рогу нанесен** **ракетный удар**, — мэр города Вилкул",No,
13,1093357968,8671,"Читаешь «независимое перо» Дяди Сэма и диву даёшься: в американской инфляции виноваты мы, в предвыборных проблемах Макрона и росте потребительских цен в ЕС — тоже. На деле, и это факт, Россия создает проблемы украинским радикалам, но из них западная медиамашина усердно лепит «хероев». Определенно, миру нужен гегемон-психиатр. Мы, в общем-то, согласны. 

@FridrihShow 🖌",No,
14,1511148555,9245,"⚡️⚡️**Число погибших при стрельбе в школе Ижевска увеличилось до 15, среди них 11 детей**, — СК.",Yes,A
15,1247556894,4177,"🚇**У київському метрополітені інтервал руху скорочено до 4-5 хвилин у пікові години, у міжпікові – до 8-10 хвилин

**✔️Також запрацюють другі вестибюлі на станціях «Дарниця» та «Видубичі». На станціях «Осокорки»  та «Лісова» роботу вестибюлів буде змінено.

❌Без зупинки поїзди курсують повз станції «Хрещатик», «Дніпро», «Гідропарк», «Майдан Незалежності».

❌Зачинено пересадочний вузол «Хрещатик»**–**«Майдан Незалежності».

✔️Нагадуємо, що у разі повітряної тривоги рух наземними ділянками метрополітену призупиняється. Підземні станції метрополітену продовжують виконувати функцію укриття.",No,
