Sr. no.,Channel ID,Post ID,Post,HRV (Yes/No),"Type (A,B,C,D)"
1,1511148555,10213,"‼️🔥🔥🔥🚀Один из ударов по Киеву,  был нанесён по базе и штабу - «Азова».",No,
2,1164348791,6257,"КОГДА ОСТРОЕ СЛОВО В СТРОКУ! О РАЗДАЧЕ «ЛЮЛЕЙ» ВСУ. 

И это 56-й полк! А есть ли в ВСУ полки с такой историей! 56-й полк спас от разрушения Вену в 1945-м, **спас от фашистов.** Потом Афган от и до, потом война с боевиками в Чечне, спасение Дагестана, сначала от банд Басаева и Хаттаба, потом и от банды Гелаева. 

Теперь спасает нас от жовто-блокитной чумы. 

Это фильм про 56-й полк:
https://youtu.be/Whe2GzhJST4

https://t.me/voenacher/29082",Yes,B
3,1247556894,4607,"[​​](https://telegra.ph/file/b8debc854d5a03c86383a.jpg)**Київ: важливе на сьогодні** 🔵🟡

**💔Із 24 лютого у Києві зареєстровано майже 100 тисяч вимушених переселенців, понад 15 тисяч із них – діти.** Вимушених переселенців, які переїхали до столиці з 2014 року, —  більше 270 тисяч. Найбільше із Донецької та Луганської областей, також багато з Харківської, Сумської та Запорізької. 

**🦠Від початку повномасштабної війни у Києві зареєстровано понад 35,2 тисячі випадків захворювання на COVID-19.** У столиці кожен охочий може безкоштовно зробити щеплення проти коронавірусу, зокрема, внутрішньо переміщені особи.

🐶**Більше тисячі людей відвідали День відкритих дверей у тимчасовому притулку для тварин на ВДНГ: нових господарів знайшли 7 собак та 4 котів. **Тимчасовий притулок для тварин працює з кінця березня. За цей час вдалося прилаштувати близько 150 тварин. Багато з них – евакуйовані із зон обстрілів, бомбардувань тощо. 

**🍐Цими вихідними 110 років виповнилося Бессарабському ринку – одній із візитівок української столиці.** Сьогодні Бессарабський ринок поступово стабілізує діяльність в умовах воєнного стану і продовжує залучати до торгівлі  безпосередніх товаровиробників, аби забезпечити мешканців столиці якісними та безпечними продуктами харчування.

**Детальніше: **https://cutt.ly/3LKZdcI

**Kyiv: important news** 🔵🟡

💔**Since February 24, nearly 100,000 forced migrants have been registered in Kyiv, over 15,000 of whom are children.** Over 270,000 forced migrants have moved to the capital since 2014. Most of them come from the Donetsk and Luhansk regions, as well as many from the Kharkiv, Sumy, and Zaporizhzhya regions. 

**🦠Since the start of the full-scale war, over 35,200 cases of COVID-19 have been registered in Kyiv.** Anyone in Kyiv who wants to receive a free jab may do so. Internally displaced individuals can also get vaccinated.

🐶**Over 1000 people visited Open Doors Day at the temporary shelter for animals at VDNG: 7 dogs and 4 cats found new owners.** The temporary animal shelter has operated since late March. During this time, about 150 animals have been adopted. Many of them were evacuees from areas of shelling, bombing, etc. 

**🍐This weekend marks the 110th anniversary of the Bessarabian Market, one of the Ukrainian capital's top destinations to visit. **Today, the Bessarabian Market is gradually returning to normal in martial law conditions and continues to get direct producers to engage in business to provide the capital's residents with safe, high-quality food.

**More details:** https://cutt.ly/3LKZdcI",Yes,B
4,1498939244,36671,"Ещё бы ботинки инженерам сменить (вот прям на заднем фоне) и начать массовую выдачу вторички на базе ПЛ, окончательно сменив ПМ. 
Ох уж эти мечты мечты.",No,
5,1511148555,10627,💤А то учения блять они там проводить вздумали. Мы вам проведём учения.,No,
6,1366346975,49428,"**Памяти Ольги Качуры.

**Источник: https://t.me/milchronicles",No,
7,1144404150,18167,"🇷🇺🇺🇦 Местные жители сообщили о нескольких мощных прилетах в **Николаеве.** 
#Николаев #Россия #Украина
@rybar

__*Поддержать нас:__ `4377 7278 0407 7977`",No,
8,1080134301,17460,Как же «обрадуются» его родители,No,
9,1080134301,17016,⚡️ Кадры от очевидцев вчерашних ударов ВСУ по Антоновскому мосту.,No,
10,1080134301,21368,"**Тимура Бекмансурова, совершившего вооруженное нападение в Пермском классическом университет**е**, приговорили к пожизненному заключению.** 

Такое решение озвучил судья, поставив точку в деле о стрельбе, в результате которой 20 сентября 2021 года погибли шесть человек и несколько десятков пострадали.

По версии СК, бывший студент начал думать о массовом убийстве ещё в школе. Он купил турецкое помповое ружьё и утром 20 сентября 2021 года пришёл к зданию Пермского государственного университета, где открыл прицельную стрельбу по людям. Бекмансуров застрелил 6 человек и ранил еще 40.

В своей последней речи Тимур просил не сажать его на пожизненное, ссылаясь на положительную характеристику с последнего места работы, и обещал отдавать компенсацию семьям погибших из своей пенсии по инвалидности.

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)",Yes,A
11,1366346975,50566,"Осмотр укреплений ВСУ в Покровском, за которое несколько недель шли ожесточенные бои.
Поселок брали бойцы ЧВК ""Вагнер"".

https://t.me/riafan_everywhere/12072",No,
12,1457892982,29117,"❗️**Сообщают о взрывах в Киеве и в Киевской области

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
13,1536211233,1561,"**🔴DAILY REPORT WITH KEY NEWS🔴**

**Avaliable on Medium:**

**🇬🇧**[**English**](https://medium.com/p/a8c72addc43e)
**🇺🇦**[**Ukrainian**](https://medium.com/p/1654762ab81a)
**🇩🇪**[**German**](https://medium.com/p/2544dfd4811e)
**🇫🇷**[**French**](https://medium.com/p/ac8484bd542)** **
**🇪🇸**[**Spanish**](https://medium.com/p/cb9ed17114f2)
**🇹🇷**[**Turkish**](https://medium.com/p/1f0a8efdc260)
**🇷🇸**[**Serbian**](https://medium.com/p/f97d084767bc)
**🏳**[**Russian**](https://medium.com/p/9d2bb53b000)** **

**Please share our recap with all of your friends and colleagues**",No,
14,1366346975,49160,"**‼️💥 Артиллерийские бои на линии фронта Херсон - Николаев
**В Николаеве гремят взрывы, со стороны Херсона бьют РСЗО. В Николаеве пожар по обстрела.
**t.me/RVvoenkor**",Yes,B
15,1536211233,1370,"⚡️The soldiers of the Ukrainian garrison are alive and with weapons in their hands and the wounded are leaving Azovstal

⚡️Солдаты украинского гарнизона живы и с оружием в руках и ранеными выходят с Азовстали",Yes,A
16,1144404150,12050,"❗️🇷🇺🇺🇦 Кадры встречи военнослужащих ВС РФ и НМ ЛНР в недавно освобожденном Новоайдаре.

**«Дальше работаем вместе»**

@warjournaltg",No,
17,1498939244,34838,💥Сильные взрывы в Запорожье.,No,
18,1144404150,16354,"⚡️ **Сводка Министерства обороны Российской Федерации о ходе проведения специальной военной операции на территории Украины** (29.06.2022 г.) 
 
**Вооруженные Силы Российской Федерации продолжают специальную военную операцию на Украине.

Противник несёт значительные потери.

**◽️ В ходе наступательных действий в районе Лисичанского нефтеперерабатывающего завода, большие потери нанесены 10-й горно-штурмовой бригаде ВСУ. По словам пленных военнослужащих данной бригады, 108-й батальон разгромлен полностью. Из 350 человек этого подразделении осталось только 30 военнослужащих.

◽️ В действующих на Лисичанском направлении подразделениях 115-й механизированной, 79-й десантно-штурмовой и 25-й воздушно-десантной бригад ВСУ, критическая ситуация с продовольствием. Из-за голода фиксируются многочисленные случаи оставления позиций и дезертирства военнослужащих.

◽️ В районе населенного пункта Питомник Харьковской области в результате удара российской артиллерии уничтожены до ста боевиков нацистского формирования «Кракен» и около 10-ти единиц боевой техники. Командование боевиков приняло решение оставить позиции и отвести остатки подразделения в город Харьков.
 
**Вооруженные Силы Российской Федерации продолжают наносить удары по военным объектам на территории Украины.

**💥 Высокоточным оружием ВКС России за сутки уничтожены четыре пункта управления, в том числе батальонов территориальной обороны «Харьков-1» и «Харьков-2» в районе Харькова и база подготовки иностранных наёмников в районе города Николаев.Также поражены: живая сила и военная техника ВСУ в 32-х районах, база ремонта техники ВСУ в районе Лисичанска, восемь складов боеприпасов и вооружения в районах Шевченково Херсонской области, Спорное ДНР, Николаев и Очаково Николаевской области, а также база горючего в районе Кульбакино Николаевской области.

💥 В рамках контрбатарейной борьбы высокоточным оружием ВКС России поражено два украинских взвода реактивных систем залпового огня «Град» в районах Калинов, Александрово-Калиновск, а также два артиллерийских взвода в районе Авдеевка, обстреливавших населенные пункты ДНР.
 
💥 Оперативно-тактической и армейской авиацией, ракетными войсками и артиллерией за сутки поражено: 39 пунктов управления, шесть складов с боеприпасами, артиллерийские и минометные подразделения в 68-и районах, в том числе подразделение самоходных артиллерийских установок «Цезарь» французского производства на острове Кубанский, а также живая сила и военная техника в 216-и районах.

💥 Оперативно-тактической авиацией ВКС России в районе Баштанки Николаевской области сбит в воздухе самолет МиГ-29 воздушных сил Украины. Кроме того, в районе Троицкое Одесской области на огневой позиции уничтожена самоходная огневая установка зенитного ракетного комплекса «Бук-М1». 
 
💥 Российскими средствами противовоздушной обороны за сутки сбиты два самолета Су-25 в районе Курулька Харьковской области, Квитневое Херсонской области и вертолет Ми-8 воздушных сил Украины в районе Архангельское Николаевской области. Также сбиты девять украинских беспилотных летательных аппаратов в районах населенных пунктов Веселое, Ильичевка, Шестаково, Питомник, Липцы, Терновая, Сулиновка Харьковской области, Томина Балка Херсонской области, Стаханов и Кантемировка Донецкой Народной Республики. Кроме того, перехвачено семь украинских баллистических ракет «Точка-У» в районах Пески-Радьковские, Капитоловка, Червоный Оскол Харьковской области, Тягинка, Новокондаково Херсонской области и восемь реактивных снарядов системы залпового огня в районах Каменка, Бражковка Харьковской области, Крымки, Новоселовка, Яровая Донецкой Народной Республики и над островом Змеиный.
 
📊 Всего с начала проведения специальной военной операции уничтожены: 221 самолет, 134 вертолета, 1391 беспилотный летательный аппарат, 351 зенитный ракетный комплекс, 
3853 танка и других боевых бронированных машин, 692 боевые машины реактивной системы залпового огня, 3052 орудия полевой артиллерии и минометов, а также 3907 единиц специальной военной автомобильной техники.

#Минобороны #Россия #Украина @mod_russia",Yes,D
19,1469021333,14251,"**__""Одеськую Катинь ми не прастім"" - президент московії хуйло

__**Тим часом триває виступ виродка, на якій він оголосить про приєднання окупованих територій.",No,
20,1366346975,52885,"**‼️🏹🇷🇺Враг бьёт по Херсону, видна работа российской ПВО и попадание ракеты противника

**Не исключено, что это очередная попытка ВСУ повредить Антоновский мост.
**t.me/RVvoenkor**",No,
21,1511148555,12640,"‼️🇺🇦🏴‍☠️** Зеленский в очередной раз призвал Запад принять Украину в НАТО и ЕС

**""Все вы видите, на сколько весомый вклад в защиту нашего с вами сообщества делает Украина, все вы видите на сколько важно то что мы с вами реально объединились после 24 февраля. Следовательно, благодаря этому вы видите и то, что Украина должна стать полноправным членом ЕС и НАТО. Я призываю вас поддержать наши заявки на членство в ЕС и альянс"", - сказал Зеленский, выступая по видеосвязи на заседании парламентской ассамблеи альянса в Мадриде.
💤Кажется кто-то опять перенюхал .",No,
22,1511148555,11052,**‼️🇺🇦🇮🇷 Украинский депутат-нацист Гончаренко внес в Верховную раду законопроект о разрыве дипломатических отношений с Ираном и признании Тегерана спонсором терроризма**,No,
23,1457892982,29890,"**Шок. Оккупанты украли гуся-нациста из украинской биолаборатории

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No,
24,1366346975,54811,"Китайская платежная система UnionPay **запретила обслуживание карт** в российских банках,** **— __СМИ__**
**
Связано с санкциями. Даже Китай, как видите. Нет независимых государств, система, нормальная, адекватная, при которой все связаны со всеми, выстраивалась столетиями. 

А сегодня некоторым странам придется, по сути, выстраивать свой собственный мир - без тех, кто сел на станок санкций и лупит по кнопке, выдавая все новые и новые.",No,
25,1109403194,35750,"А есть там кто поближе к Алле Борисовне? Покажите ей сегодняшние видео из Донецка. Про «иллюзорные цели».

@sashakots",No,
26,1511148555,9423,"🇺🇦🏴‍☠️**ВСУ обстреляли колонну с беженцами в Харьковской области 

**По предварительным данным около 30 человек погибли. 
Как заявил посол ЛНР в Москве Родион Мирошник, колонну выследили с помощью дронов и стреляли по ним прицельно.",Yes,A
27,1498939244,34542,"США рассматривает возможность обучать на базе в Германии по 2500 украинских военных в месяц, пишет CNN со ссылкой на чиновников Белого дома.
 
«Согласно новой программе, США начнут обучать гораздо большие группы украинских солдат более сложной тактике ведения боя, включая координацию пехотных маневров с артиллерийской поддержкой», — говорится в статье. 

Пока что эта идея находится на стадии обсуждения. 

«Мы не будем опережать решения, которые еще не были приняты, но мы постоянно ищем способы убедиться, что украинцы обладают навыками, необходимыми им для успеха на поле боя, поскольку Украина защищает свою территорию от российской агрессии», — заявил CNN высокопоставленный чиновник администрации Байдена.",No,
28,1144404150,19813,"В освобожденном Мелитополе совершен теракт.

Возле парка Горького с помощью взрывного устройства был подорван автомобиль. По пока неподтвержденным данным, ранения получили два человека. 

Отметим, что вчера при [аналогичном подрыве автомобиля](https://t.me/v_and_z/3867) погиб глава поселка Любимовка Херсонской области.

@warjournaltg",Yes,A
29,1129015804,12426,"Ресурсы ""Рабочей партии Курдистана"" (РПК) опубликовали видеозапись обстрела из ПТРК подразделения ВС Турции в северном Ираке. Инцидент произошел 26 апреля 2022 года в провинции Дахук. Согласно заявлению РПК, при обстреле погибли восемь военнослужащих, еще двое получили ранения. По данным минобороны Турции, жертвами [теракта](https://t.me/directorate4/12329) стали трое силовиков.",Yes,A
30,1283359437,40904,"Белорусские нацики, сбежавшие на Украину после минского майдана, жалуются на состояние окопов, в которых им приходится прятаться от русской арты и ударов с воздуха. Ну что ж, крысам — крысиные норы.

@voenkorKotenok",No,
31,1080134301,21204,"**«Я обоссался... Я тебе в прямом смысле говорю — я сикнул» 

**Лыжники в Шерегеше испытали незабываемые ощущения во время побега от лавины.",No,
