Index,Post,Trans,Label,Type,Severity,Confidence,Explanation
1001,🤬🇺🇦Украинские нацисты издеваются над русскими пленными🇷🇺,,,,,,
1002,⚠️ Комитет солдатских матерей Украины подготовил более 320 тысяч обращений о судьбе пропавших бойцов,,,,,,
1003,"Украинцы открыли в Германии секонд-хенд, где продают подержанные вещи, которые немецкие власти выдавали украинским беженцам.",,,,,,
1004,"В Катаре сейчас Чемпионат мира по футболу, который многие призывали бойкотировать из-за политики страны, смертей рабочих, коррумпированности FIFA и т.д.

И чтобы показать, как в Катаре хорошо, организаторы наняли индусов, которые притворяются футбольными фанатами из разных стран. Пишут, в итоге им даже не заплатили за это.

ЧМ в стиле Нетфликс",,,,,,
1005,Глупая смерть,,,,,,
1006,"**Задержание на построении

**Впервые в России возбуждены уголовные дела во время СВО на двух военнослужащих Белгородской области по статье ""невыполнение приказа"".",,,,,,
1007,"Хмм, странно, и почему у меня с потолка капает мёд?",,,,,,
1008,"🥲 Чемпионат Мира по футболу ещё полноценно не стартовал, **а бразильские болельщики уже пиздятся в местных барах

**Причём между собой",,,,,,
1009,"**В районе трёх вокзалов в Москве горит складское здание. 

**Площадь пожара в центре города составляет 2 тыс. кв. м. В горящем цветочном складе обрушились межэтажные перекрытия, площадь обрушения составила 500 кв. м.

В здании могут находиться люди. Информация по возможным пострадавшим уточняется.",,,,,,
1010,Ёбаные нарциссы!,,,,,,
1011,"🫣 «**Казахов вообще не было. Казахи - это китайцы**», — так прохожая бабуля ответила на вопрос «В каком году основалось Казахское ханство?»

Как бы смешно не было, но на бабулю завели уголовку за **оскорбления** и **экстремизм**. Ей грозит реальный тюремный срок.",,,,,,
1012,"🇱🇻 Реалии нынешней самой что ни на есть европейской Латвии: мать захотела искупать своего ребёнка в ванной, но забыла вовремя выключить воду

Вот, жалуется в сети, что теперь ей придётся заплатить 500 евро за полную ванну воды.",,,,,,
1013,"Украинским военным привезли сухой паёк. Полторы консервных банки на день. ""И все?!"" - разочарован украинский вояка. И все.",,,,,,
