Index,Post,Trans,Label,Type,Severity,Confidence,Explanation
2001,В Киеве полтора десятка прилетов шахид-мопедов,,,,,,
2002,"🇺🇦🏴‍☠️**Тикток обычного жителя Украины.

**Но вы не подумайте, на Украине нацизма нет…",,,,,,
2003,"Вы удивитесь, но губастая солевуха до сих пор ходит по улицам и доёбывает людей",,,,,,
2004,"Украинские СМИ сообщают о взрывах в Николаеве и в Одесской области. 

А в Днепропетровской и Кировоградской областях объявлена воздушная тревога. Жители Сумской области пишут, что у них пропало электричество.",,,,,,
2005,"**Казахский националист оскорбил своих соплеменников, которые отправились в зону проведения СВО.

**__«В тех регионах живут казахи и они, придя в военкоматы, добровольно грузятся в эти автобусы. Типа мои соплеменники. Хотя они мне не соплеменники, нах*й. Это рашистские казахи, провонявшиеся салом и водкой. Я не считаю российских казахов братьями. Они тупые. Я всю жизнь говорил, что российские казахи - это скот. Который жрёт свинину и водку».__",,,,,,
2006,"**В Белгородской области сотрудниками правоохранительных органов задержан очередной фанат украинских нацистов.

**Молодой человек в сети распространял фотографии гробов российских военных, при этом не стеснялся высказывать в адрес их родных язвительные насмешки. 

Сотрудники силовых структур не оставили без внимания такой контент, поэтому решили заглянуть в гости к данному интернет-воину. После этого героизм последнего сразу куда-то испарился. Теперь он приносит всем свои извинения. Но это не спасёт его от ответственности.",,,,,,
2007,"В Питере парень пытался убежать от повестки, но повестка оказалась быстрее",,,,,,
2008,"Новобранцы ЧВК ""Вагнер"" проходят интенсивный курс подготовки перед отправкой в места выполнения задач.

На этих кадрах обкатка новичков танком на полигоне.",,,,,,
2009,"УрАЛ 432007 0111-31 ""Чекан"" в естественной среде обитания.",,,,,,
2010,"🇷🇺🇺🇦Российские артиллеристы наносят удары по ДРГ Украины

🎥В кадре отчетливо видно несколько раненных ВСУ👍",,,,,,
2011,"**Стало известно, что котенок погиб от рук 13-летней живодерки

**Благодаря общественному резонансу в дело вмешалась полиция. Сотрудникам удалось найти окровавленный труп животного у двора жилого дома. 

Инцидент произошел в деревне Гродно. Предварительно, малолетняя преступница стоит на учете в психиатрии.",,,,,,
2012,Кошмаринг ВСУ дронами продолжается,,,,,,
2013,"Каждый день на протяжении нескольких лет папа Софии и Миши уходит на работу, как на войну. Он борется за жизни людей в реанимации – [спасает](https://vk.com/life?z=video-24199209_456299341%2F505e62018aa2cbe6be%2Fpl_wall_-24199209) пациентов от CoViD-19. Но, несмотря на сложную работу, всегда находит время поиграть со своими детьми!

День отца в России официально отмечается второй год. В этот раз праздник приходится на 16 октября. Не забудьте поздравить своих пап!",,,,,,
2014,"🇺🇦**Их оставалось только трое из восемнадцати ребят...
**Вот так протекает ведение боевых действий у ВСУ: где находятся, куда бежать и что делать никто не знает.
А вокруг полный 3,14-здец...🔥",,,,,,
2015,Полицаи в Европе отрабатывают приемы на живых протестующих против ухудшения уровня жизни.,,,,,,
2016,Это что за войска?,,,,,,
2017,Расчёт ПТРК 40-й бригады морской пехоты России и  пикап ВСУ.,,,,,,
2018,"**В Киевском метро сцепились два пацанчика

**Источник сообщает, что зарамсились парни (которых почему-то до сих пор не отправили на фронт) из-за того, что один по пьяне приставал к незнакомой девушке",,,,,,
2019,"🇺🇦Бравый солдат Украины жалуется, что ночью их позиции разнесли в пух и прах и теперь ему приходится искать новые позиции. Им очень холодно, об отдыхе вообще можно забыть",,,,,,
