Index,Post,Trans,Label,Type
18001,"ВПЕРЕД РОССИЯ! МЫ ВСЕ ДЕЛАЕМ ПО-ЧЕСТНОМУ, МЫ АБСОЛЮТНО ПРАВЫ!","LET'S GO RUSSIA! WE DO EVERYTHING HONESTLY, WE ARE ABSOLUTELY RIGHT!",,
18002,"ДОНЕЦК. ЕХАЛ НОЧЬЮ ПО ПЕТРОВКЕ, УВИДЕЛ, КАК ГОРЯТ ДОМА. УКРАИНСКАЯ АРТИЛЛЕРИЯ БЬЕТ НЕ ОСТАНАВЛИВАЯСЬ ПО РАЗНЫМ УЛИЦАМ. 

Никакой схемы. ВСУ просто пытаются «кошмарить» город: несколько снарядов в Калининский район, несколько в Киевский, Куйбышевский, Ленинский… 

Такое впечатление, что напоследок бандеровцы хотят как можно больше убить и разрушить. 

          А их гонят, гонят от города. Военные сами говорят: наша выгода в движении. Мы сбиваем их с насиженных позиций, и мы и они действуем с чистого листа, но инициатива наша.","Donetsk. Driving through Petrovka at night, I saw the houses burning. The Ukrainian Artillery does not stop on different streets.

No pattern. APU is just trying to “nightmarish” the city: a few shells in the Kalinin district, several in the Kiev, Kuibyshev, Lenin ...

It seems that the Banderites want to kill and destroy as much as possible.

They're being chased out of town. The military itself says: our profit is in motion. We knock them out of position, and we and they act from scratch, but the initiative is ours.",,
18003,"«ДЕМОКРАТАМ» ИЗ РОССИИ  ОТ УКРАИНЦА ИЗ ЕВРОПЫ. 

По поводу правильности или неправильности решения на проведение СВО: 

 «Когда бандеровцы придут вас спасать от Путина - вам пи…».  

https://t.me/OpenUkraine/26472","""Democrats"" from Russia from Ukraine from Europe.

Regarding the correctness or incorrectness of the decision to carry out the SVO:

“When the Banderites come to save you from Putin, you will be fine.”

https://tme/OpenUkraine/26472",,
18004,"УКРАИНСКИЕ АРТИЛЛЕРИСТЫ И ПРАВОСЛАВИЕ. МОЖНО ЛИ ПРОЩАТЬ УБИЙЦ С ТОЧКИ ЗРЕНИЯ НАШЕЙ ВЕРЫ? 
 
Донецк, Бакинская площадь, место сегодняшней гибели тринадцати мирных жителей. Тихие торговые ряды, а ещё утром бойкое место. 

Теперь – Знамя с ликом Христа, зажжённые свечи прямо на прилавке «Шаурмы». И люди, которые несут цветы. Погибшим близким, друзьям, знакомым… Шум «болгарки» - рабочие уже устанавливают заграждения на изуродованный взрывом магазин «Джем».
 
Меня волновала мысль: прощать или не прощать украинских убийц, с точки зрения нашей веры? По православию надо бы простить, но столько преступлений, столько убийств невиновных людей… Вот, что сказали батюшки:
 
Отец Роман: «Простить можно только того, кто просит прощения. Не заведомо всех убийц и насильников. А когда у человека покаяние, тогда можно и подумать о прощении. А пока никто прощения не просит, что об этом думать».

Отец Дионисий: «Простить-значит остановить».
 
Их надо остановить.","Ukrainian Artillerists and Orthodoxy. Can we forgive the murderers from the point of view of our faith?

Donetsk, Baku Square, the place of today’s deaths of thirteen civilians. Quiet shopping arcades, and in the morning a lively place.

Now – the Banner with the face of Christ, lit candles right on the counter of “Shawarma”. And people who carry flowers. Dead relatives, friends, acquaintances... The noise of the ""Bulgarians"" - workers are already installing barriers on the store ""Jam"" disfigured by the explosion.

I was worried about the thought: to forgive or not to forgive Ukrainian murderers, from the point of view of our faith? According to Orthodoxy, we should forgive, but so many crimes, so many murders of innocent people. This is what the fathers said:

Father Roman: Only those who ask forgiveness can be forgiven. Not all murderers and rapists. And when a person has repentance, then he can think of forgiveness. Until then, no one asks for forgiveness what to think of it.”

Father Dionysius: “To forgive is to stop.”

They have to be stopped.",,
18005,"НЕУЖЕЛИ ЭТО БЫЛА ПОСЛЕДНЯЯ КАПЛЯ В МОРЕ КРОВИ РУССКОГО НАРОДА НА УКРАИНЕ? 

ЛНР освобождена полностью, за ДНР, я так понимаю, сейчас возьмутся плотней. Хотя наши ребята и так, изо всех сил, пробиваются вперед. 

https://t.me/bbbreaking/135651

https://t.me/dimsmirnov175/37803

https://t.me/margaritasimonyan/12080","Was this the last drop in the sea of blood of the Russian people in Ukraine?

The LPR has been completely liberated, the DPR, as I understand it, will now be taken closer. Although our guys are struggling to get ahead.

https:/t.me/bbbreaking/135651

https://tme/dimsmirnov175/37803

https://tme/margaritasimonyan/12080",,
18006,"Часть 3. 

​
«Ещё хуже дела обстоят с наведением авиации, если речь идёт не о плановых целях, а о выполнении задач непосредственной поддержки войск. Авианаводчик хорошо, если есть в бригаде. Грамотного, скорее всего,  нет».
 
Блин, ОБУшник (офицер боевого управления) это, на всякий случай, отдельная профессия, часто эти обязанности возлагают на лётчиков, не вывозящих ВЛК. Их списывают и отправляют в пехоту или в ВДВ авианаводчиками. Обычно, они с разведгруппами ходят в самое пекло.
 
«В итоге, наш солдат часто не получает той огневой поддержки, которую должен был бы. Но что у вероятного противника? А там рассматривается вопрос о том, что в ходе реформ в каждом отделении корпуса морской пехоты США замкомандира отделения будет полноценным артиллерийским и авиа-наводчиком. А самому командиру будет придан боец оператор электронных систем отделения с дроном, планшетом (и роботами в будущем). Подчеркиваю, это уровень стрелкового отделения, которое сможет, действуя автономно получать полноценную поддержку огнём и само вести разведку»!
 
Стоп! А вот тут ни много ни мало речь идёт о кадровой революции. На взвод пехоты (мотострелков) аж три авианаводчика (он же арткорректировщик). Вы знаете… А я за. У нас и так взаимодействие видов и родов войск хромает, так может рождение вот такой ВУС (военно-учётной специальности, по-граждански – профессии) решит вопрос, хотя бы «дружественного огня» (случайная стрельба по своим), ну и более качественного управления огнём.
 
Единственное, чтоб не создавать такую длинную цепь передачи команды (корректировщик взвода – комбат – начальник артиллерии части – огневая артиллерийская позиция) может быть изобрести для Российской армии такой аппарат, чтоб навести его на цель, и координаты сразу улетят на огневую, чтоб огонь открывали через минуту после обнаружения цели.

Если кто-то скажет: да у нас такие чудо-бинокли есть, так я спрошу, **а где ж тогда они**?","Part 3.


“The situation is even worse with the direction of aviation, if it is not about planned goals, but about the implementation of tasks of direct support of troops. The air gunner is fine if there is one in the brigade. Probably not competent.”

Man, OBushnik (combat management officer) is, just in case, a separate profession, often these duties are assigned to pilots who do not export VLK. They are written off and sent to the infantry or airborne airborne gunners. Normally, he and the scouts go to hell.

“As a result, our soldiers often do not receive the fire support they should. But what about the likely adversary? And there is considered the question that in the course of reforms in each branch of the U.S. Marine Corps, the deputy commander of the branch will be a full-fledged artillery and air gunner. And the commander himself will be given a fighter operator of the electronic systems of the compartment with a drone, a tablet (and robots in the future). I emphasize that this is the level of the rifle compartment, which will be able, acting autonomously, to receive full-fledged fire support and conduct reconnaissance itself!

Stop! But here is nothing less than a personnel revolution. On a platoon of infantry (motor riflemen) as many as three air gunners (also known as an artillery corrector). You know... I do. In our country, the interaction of the types and types of troops is limping, so the birth of such a military-registration specialty (military-registration specialty, in civilian - profession) can solve the issue of at least ""friendly fire"" (accidental shooting at their own), well, and better fire control.

The only way not to create such a long chain of command transmission (platform corrector - commander - chief of artillery unit - artillery position) can be to invent for the Russian army such a device to point it at the target, and the coordinates will immediately fly to the fire, so that the fire opened a minute after the detection of the target.

If someone says, Yes, we have such wonderful binoculars, I will ask, where are they?",,
18007,"Часть 2. 

«Но как происходит управление артиллерией, хоть старой, хоть суперсовременной? Для этого у нас к батальонам прикрепляют артиллеристов и разведчиков, которые умеют превратить комбатское ""вот туда навалите сильнее"" в координаты, поправки, установки и прочую математику. Делают они это с помощью линейки и таблиц или с помощью баллистических компьютеров и лазерных дальномеров, но это именно так. Но и комбат, не на учениях, стоя в ""стекляшке"", а в бою, сам видит далеко не всё и прикреплённый к нему артиллерист тем более».
 
Ну… Прикреплённых к каждому батальону «артиллеристов и разведчиков» я не видал. Возможно, вследствие нечастого нахождения во время боя на батальонном КП.
 
«А умение давать чёткие данные для огня в ротах, взводах, а тем более отделениях, есть далеко не всегда. Хорошо, если на месте бывший разведчик, пошедший на повышение в пехоту, который действительно может корректировать свои миномёты. А если нет? Это я молчу о том, что внизу не так много средств разведки и наблюдения, для таких вещей. Так мы теряем в ответственные моменты своё главное преимущество, в плотном и гибком огне артиллерии».
 
А у нас в общевойсковых или танковых (ВУС один и тот же) училищах есть такой серьёзный предмет, как артиллерийская корректировка? СпН точно в силах это делать, пехота… Возможно, да, но я склоняюсь к варианту «Ближе сто!!!» «Севернее триста!!!».
 ","Part 2.

“But how does the control of artillery, whether old or supermodern, take place? To do this, we have artillerymen and scouts attached to the battalions, who are able to turn the Combat “here’s where push harder” into coordinates, amendments, installations and other mathematics. They do this with a ruler and tables or with ballistic computers and laser rangefinders, but that’s exactly what it is. But the commander, not on exercises, standing in the ""glass"", and in battle, he sees not everything and attached to him artillery, especially.

Well... I have not seen any artillerymen and scouts attached to each battalion. Perhaps due to the infrequent presence during the battle on the battalion KP.

And the ability to give clear data for fire in companies, platoons, and even more so compartments, is not always. Well, if there's a former scout who went on a promotion to the infantry, who can actually adjust his mortars. And if not? I'm the one keeping quiet about the fact that there aren't many intelligence and surveillance facilities down there for things like that. In this way we lose our main advantage in critical moments, in the dense and flexible fire of artillery.

Do we have such a serious subject as artillery adjustment in combined arms or tank schools (the APU is the same)? The SDF can do that, the infantry. Perhaps, yes, but I’m leaning toward the “close to a hundred!!!” option. ""North of three hundred!"".",,
18008,"СВО, «АРТИЛЛЕРИЙСКОГО КОРРЕКТИРОВЩИКА В КАЖДЫЙ ВЗВОД!» ЕСЛИ ВНИКНУТЬ В ОКОЛОВОЕННЫЮ СРЕДУ, К КОТОРЫМ, БЕЗУСЛОВНО, ОТНОСЯТСЯ ПОЛЕВЫЕ ЖУРНАЛИСТЫ И БЛОГЕРЫ, МОЖНО ПОНЯТЬ, НАСКОЛЬКО ЖАРКО В ЭТОЙ СРЕДЕ ОБСУЖДАЮТ ПРОИСХОДЯЩЕЕ. ПАРУ СЛОВ ОБ УЧАСТИИ АРТИЛЛЕРИИ.
 
Часть 1. 

Давайте так, в кавычках – блогерское, без кавычек моё. С предоставленным мнением могу не соглашаться, но за реальность его происхождения отвечаю.
 
«Наша армия, несмотря на разные исторические периоды и попытки менять эту ситуацию, была и остаётся артиллерийской. Более того, она не просто артиллерийская, но со времён ВОВ ставка сделана на количество стволов, т.е. плотность огня на километре фронта».
 
Да, есть такое, мы не всегда можем точно попасть, поэтому часто стреляем много, до попадания. Управляемых снарядов «Краснополей» не так много и средств наведения («Орлан-30») ещё меньше.
 ","Own, ""artillery corrector in every platoon!"" If one were to delve into the encirclement environment to which field journalists and bloggers unconditionally belong, one could understand how hot things are in this environment. A couple of words about Artillery.

Part 1.

Come on, in quotes - blogger, without quotation marks my. I can disagree with the opinion provided, but I am responsible for the reality of its origin.

Our army, despite different historical periods and attempts to change this situation, was and remains artillery. Moreover, it is not just artillery, but since the Second World War, the bet has been made on the number of barrels, i.e. the density of fire on a kilometer of the front.

Yes, there is, we can not always accurately hit, so often shoot a lot, before hitting. Controlled shells ""Krasnopol"" not so much and guidance means (""Orlan-30"") even less.",,
18009,"НЕДЕЛЯ ЕДВА НАЧАЛАСЬ, А В ДНР ТАКИЕ ПОТЕРИ, 16 ПОГИБШИХ. 

Предупредить артналет невозможно. Звук летит вместе со снарядом, моментально выстрел и разрыв, не успеешь заскочить в подъезд или в подвал. 

Удары наносятся по скоплению мирных людей, по рынкам и торговым рядам. Цель совершенно террористическая - запугать народ, вызвать панику. 


https://t.me/pushilindenis/2675","The week has hardly begun, and in the DPR such losses, 16 dead.

It is impossible to warn the artillery. The sound flies with the projectile, instantly a shot and a rupture, before you have time to jump into the entrance or into the basement.

Strikes are inflicted on the congestion of civilians, on markets and commercial rows. The goal is absolutely terrorist - to intimidate the people, to cause panic.


https:/t.me/pushilindenis/2675",,
18010,"18+
НА БАКИНСКОЙ 
ПЛОЩАДИ ДОНЕЦКА БОЛЬШАЯ ТРАГЕДИЯ. 

Предварительно тринадцать погибших мирных жителей, прямое попадание 155мм снаряда НАТО в магазин «Джем». 

Все свои кадры показывать не буду, они ужасны. Разорванные тела, фрагменты тел на сотни метров. 

Российская и республиканская прокуратуры тут же организовали работу. Трудно определить число погибших, много разорванных тел.
**
Ни одного пострадавшего военного.**","18+
BAKINSKY
Donetska Square is a great tragedy.

Preliminary thirteen dead civilians, a direct hit of a 155 mm NATO shell in the store “Jam”.

I will not show all my pictures, they are terrible. Torn bodies, body fragments hundreds of meters away.

Russian and Republican prosecutors immediately organized the work. It is difficult to determine the death toll, many torn bodies.
**
Not a single military casualty.**",,
