Index,Post,Trans,Label,Type
27001,Паники нет,,,
27002,"НАТО будет усиливать присутствие от Черного до Балтийского моря, заявил госсекретарь США Энтони Блинкен на встрече альянса в Бухаресте",,,
27003,Тревога по всей Украине,,,
27004,"ВСУ снова обстреляли посёлок Тёткино, зафиксировано не менее 10 прилётов — губернатор Курской области Старовойт. 

Пострадавших нет, повреждены объекты энергоснабжения. Ремонтные бригады выехали на место.",,,
27005,"Урон от ракетных ударов по Украине колоссальный, НАТО намерено мобилизовать дополнительную помощь Украине — Столтенберг",,,
27006,"Словакия в рамках соглашения с Германией передела Украине 30 своих БМП-1, сообщил министр обороны Словакии Ярослав Надь",,,
27007,"#эксклюзив
В любой спецслужбе мира самыми важными и секретными сведениями считаются сведения об их агентах, особенно негласных. Так сложилось, что лучшими друзьями наших спецслужб стали сотрудники Мариупольской СБУ. Которые долгие годы накапливали, а потом аккуратно оставили для нас всю документацию. В данном случае речь пойдёт о [документах](https://telegra.ph/Apparat-11-24) в которых информация касается, как раз таки негласных агентов СБУ на нашей территории. Кстати, такое отношение к документации и сведениям о своих агентах должно насторожить всех, кто сотрудничает с СБУ. Ведь, им плевать, что потом произойдёт с вами в условиях военного времени, если им было просто лень сжечь хотя бы агентурные дела. 

t.me/NeoficialniyBeZsonoV",,,
27008,"Турция проведет наземную операцию в Сирии, когда сочтет необходимым — представитель Эрдогана",,,
27009,"В «Укрэнерго» заявляют, что дефицит мощности сегодня составляет 30% (вчера было 27%).

По всех областях действуют ограничения потребления электроэнергии.",,,
27010,"Как же это смешно. Казахи уже не братья, поливаются говном со всей силы. 

А ципсошники забыли аккаунт сменить, ну вы знаете, эта знаменитая узбекская фамилия Кудрейко😁😁😁",,,
27011,"Очередной эксклюзив от лётчиков Ка-52 на канале. 

Температуры установились минусовые, поэтому всушные коробочки стало идеально просто разглядывать в тепловизор. 

Очередная жертва пряталась в посадке, наделяюсь что пронесёт. 

Но на Русском Донбасе украинскому оккупанту не место. 
Поэтому Ка-52 решили согреть очередную коробочку почитателей бандеры.",,,
27012,Поддерживает таки спецоперацию.,,,
27013,Освобождённые из украинского  плена военнослужащие из ЛНР встретились со своими родными,,,
27014,"Львов, Запорожье и Днепропетровск — тоже аварийные отключения вместо плановых. 

Спустя неделю после крайнего массированного удара всё ещё ощущаются последствия, урон накапливается. Нужно продолжать в том же духе.",,,
27015,"Bloomberg опубликовали статью по поводу двухдневного заседания министров иностранных дел стран НАТО в Бухаресте, которое стартует сегодня. Именно там проходил саммит 2008 года, на котором Украине и Грузии было обещано, что в конечном итоге они смогут присоединится к альянсу. 

Издание пишет, что представители НАТО вновь заявят, что двери альянса для Украины открыты, но сейчас не время для ее вступления в альянс. 

Также партнеры Украины по НАТО намерены обсудить поставки дополнительных систем противовоздушной обороны Украине.",,,
27016,В Одесской области и Киеве снова аварийные отключения электроэнергии,,,
27017,"Последствия вчерашнего обстрела центра Донецка, в ходе которого погиб мирный житель",,,
27018,"[❗️🇷🇺🇺🇦 ](https://rybar.ru/piwigo/i.php?/upload/2022/11/28/20221128200732-f1305aff-xx.jpg)**Хроника специальной военной операции
**__за 28 ноября 2022 года

__**🔻Харьковская область:

**▪️Противник стягивает личный состав и технику в **Волчанский **и** Харьковский районы**, граничащие с **Белгородской областью**. В городах области украинские власти проводят мобилизованные мероприятия.

**🔻Старобельское направление:

**▪️Существенных изменений на линии фронта нет. На **Купянском участке** противник предпринял очередную попытку наступления в сторону **Куземовки**, однако попал под огонь артиллерии и отступил на исходные позиции.

▪️На **Лиманском участке **ВСУ вновь пытались наступать в сторону **Площанки, **но атака была отбита российскими военнослужащими.

**🔻Соледарское направление (**[**карта**](https://t.me/rybar/41551)**):

**▪️Продолжаются ожесточенные бои в пригородах **Бахмута (Артемовска). **Противник терпит большие потери в личном составе.

▪️Южнее** Бахмута **российские войска освободили **Озеряновку, Зеленополье **и **Андреевку**. Развивая наступление, ВС РФ подошли вплотную к** Курдюмовке **и** Клещеевке.

**▪️53 омбр и 71 ебр ВСУ попытались контратаковать в районе **Опытного**, заняв здание «Новой почты» в поселке, однако бойцы ЧВК «Вагнер» смогли отбить атаку.

▪️Командование украинской армии планирует еще одну попытку контрнаступления, задействовав прибывшие с **Херсонского направления с**илы.

**🔻Луганская Народная Республика:

**▪️ВСУ в очередной раз обстреляли **Сватово,** повредив в городе несколько гражданских построек.

**🔻Донецкое направление:

**▪️Украинские формирования продолжили обстреливать **Донецкую агломерацию**: под удар попали **Горловка, Зайцево, Яковлевка **и** Донецк,** среди мирных жителей есть погибшие.

**🔻Днепропетровская область:

**▪️Поздним вечером ВС РФ нанесли ракетные удары по объектам ВСУ в **Днепропетровске**, в городе прогремело несколько взрывов. 

Были поражены позиции противника у **Никополя, Марганца, Черногригоровки**, а также **Синельниково,** где расположен крупный железнодорожный узел.

**🔻Южный фронт: Херсонское направление

**▪️Российские ракетные войска и артиллерия отработали по целям в **Херсоне, Дудчанах, Казацком **и** Токаревке.

**[**Карта в высоком разрешении

**](https://rybar.ru/piwigo/upload/2022/11/28/20221128200732-f1305aff.jpg)Foreign versions: [**DE **](https://rybar.ru/piwigo/upload/2022/11/28/20221128200722-05939b88.jpg)**|**[** EN**](https://rybar.ru/piwigo/upload/2022/11/28/20221128200724-96ff5343.jpg)[** **](https://rybar.ru/piwigo/upload/2022/11/25/20221125213339-4785e20d.jpg)**| **[**ES**](https://rybar.ru/piwigo/upload/2022/11/28/20221128200726-898f2798.jpg)** |**[** FR**](https://rybar.ru/piwigo/upload/2022/11/28/20221128200728-b2b01567.jpg)[** **](https://rybar.ru/piwigo/upload/2022/11/25/20221125213345-f65583d9.jpg)**|**[** **](https://rybar.ru/piwigo/upload/2022/11/24/20221124203437-c2e049fd.jpg)[**IT**](https://rybar.ru/piwigo/upload/2022/11/28/20221128200730-e1d9820e.jpg)** 

**#дайджест #Бахмут #Донецк #Запорожье #карта #Луганск #Россия #Славянск #Украина
@rybar

*Поддержать нас: `5536 9141 9147 4885` | `0x4739352b67Da6F4064757627D92A08EaDd3fb6b6` (ETH) | `33i1BwMuzeYTAUNtiLa6CjvaHtTVYNJfnp` (BTC)",,,
27019,"Минобороны опубликовало видео запуска ракеты-носителя ""Союз-2.1б"" со спутником военного назначения с космодрома Плесецк.

На данный момент с космическим аппаратом установлена и поддерживается устойчивая телеметрическая связь. Бортовые системы аппарата функционируют в штатном режиме. Спутнику присвоен порядковый номер  «Космос-2564».",,,
27020,"Днепропетровские власти заявили, что удар несколькими ракетами пришёлся по ""частному предприятию"", вследствие чего были уничтожены производственные помещения.

Мирные всушные заводы 😁",,,
27021,"В этой ситуации ещё доставляет реакция западного обывателя.

Я поддерживаю и уважаю украинских солдат... Эээ, а чо у них нацистские шевроны?",,,
27022,"🇺🇦 В стране где ""нет нацизма"" откуда ни возьмись берутся имбецилы, носящие патчи нацистских дивизий СС. В данном случае дивизии ""Dirlewanger"", в которую набирались заключённые немецких тюрем, концлагерей и военных тюрем СС. 

К слову в купе с этими деградантами ещё и наёмники.

Война История Оружие 
[Подписаться на канал](https://t.me/warhistoryalconafter)",,,
27023,"Вечерний Владен. 28.11.2022г

- Бахмут (Артемовск).
- Общая обстановка.
- Резонансные темы. Что вызывает бурную дискуссию?",,,
27024,О взрыве также сообщают в Синельниково Днепропетровской области.,,,
27025,💥Ещё один сильный взрыв в Днепропетровске.,,,
27026,Звук ликвидации объекта в Днепропетровске.,,,
27027,Пожар на объекте в Днепропетровске после одного из прилётов.,,,
27028,💥 Взрывы в Днепропетровске,,,
27029,"Месяц назад я говорил о том, что необратимые последствия в сфере энергетики Украины наступят в конце ноября ( Украина погрузится в эпоху стимпанка), при условии сохранения темпов уничтожения критической инфраструктуры противника нашими ракетными ударами. 

До конца месяца осталось 2 дня и я очень надеюсь, что они пройдут продуктивно. Но уже сейчас можно сказать, что удары по энергетике самым благотворными способом сказываются на фронте. Через пару месяцев Зеленский начнёт рассказывать мировым лидерам о том, что он вовсе не против переговоров о мире и готов к приемлимым условиям. 

Главное не поддаться искушению и не начать проповедовать мантру о том, что худой мир, лучше доброй войны. Добрая война всегда человечнее, она приносит по итогу меньше жертв и страданий. А худого мира хватило, достаточно оглянуться на 2014 год и все связанные с ним минские соглашения. Вот сейчас даже Путин признал, что тогдашняя болтовня и попытка впихнуть Донбасс в Украину были ошибкой, приведшей к множеству жертв. Надеюсь, что мы научились на своих ошибках и больше их не повторим.",,,
27030,"Запущенный с Плесецка военный спутник выведен на орбиту, сообщили в Минобороны РФ",,,
27031,🤔🤔🤔,,,
27032,"Извините, мимо боевых пёселей не можем пройти.

https://t.me/ua_tribunal/2651",,,
27033,"Секретарь СНБО Украины Данилов клянчит ракеты с дальностью 800 км, хотя им даже ATACMS не дали и не дадут. 

Как это должно остановить надвигающуюся энергетическую катастрофу – решительно непонятно.",,,
27034,В ДНР также демобилизуют аспирантов,,,
27035,"Центр Донецка снова под обстрелом, есть погибший...",,,
27036,💥Во временно оккупированном Херсоне прозвучали взрывы.,,,
27037,"Т-64БВ перешёл на сторону добра. 

Могильные крестики перекрасят, и будет бить хохла.",,,
27038,"Ракета «Союз-2.1б» с военным спутником стартовала с космодрома Плесецк, сообщили в Минобороны РФ",,,
